名称,抓取率,评分,
银色指挥官,7.1%,130,
铸剑师,0.7%,66,
闪光的蘑菇,2.7%,111,
闪光的骏马,0.1%,63,
闪避,0.2%,50,
闪金镇步兵,0.7%,87,
闷棍,15.5%,207,
阳焰瓦格里,13%,105,
阿古斯防御者,2.9%,125,
阿尔福斯,1.4%,119,
阿曼尼狂战士,5.3%,112,
阿莱克丝塔萨,1.4%,101,
雪鳍企鹅,0.6%,62,
雷矛特种兵,3.2%,88,
雷霆蜥蜴,5.4%,95,
霍格,1.4%,113,
霜狼步兵,0.8%,79,
霜狼督军,5.1%,88,
面具收集者,3.6%,141,
风怒鹰身人,0.7%,74,
风暴看守,6.7%,85,
风险投资公司雇佣兵,3.3%,101,
飞刀杂耍者,2.5%,110,
食人草,0.2%,67,
食人魔法师,3.6%,108,
食肉魔块,3.9%,130,
饥饿的双头怪,3.9%,109,
骨魇,22%,116,
骷髅捣蛋鬼,0.2%,55,
骷髅法师,1%,81,
鬼灵匪贼,0.6%,93,
鬼祟恶魔,2.5%,100,
魅影民兵,7.2%,131,
魔古山守望者,0.7%,84,
魔暴龙蛋,0.6%,46,
魔瘾者,0.3%,49,
鱼人招潮者,0.1%,72,
鱼人杀手蟹,0.2%,76,
鱼人猎潮者,3.9%,95,
鱼人袭击者,0.8%,90,
鱼人领军,0.2%,81,
鲁莽火箭兵,4.3%,106,
麦田傀儡,7.8%,123,
麻风侏儒,0.5%,75,
黑暗之主,0.1%,23,
黑曜石碎片,4%,112,
黑樟林树精,12%,111,
黑沼枭兽,0.3%,59,
黑色龙人铁匠,0.9%,72,
黑铁矮人,8.9%,124,
黑骑士,2.3%,80,
龙骨卫士,1.8%,89,
