名称,抓取率,评分,
巨型乳齿象,8.7%,89,
巨型黄蜂,15.8%,129,
巫医,2.1%,89,
巫妖王,5%,150,
巫毒妖术师,2.4%,92,
巫毒娃娃,1%,109,
帝王眼镜蛇,1.3%,131,
年轻的女祭司,0.9%,85,
年轻的酒仙,5.5%,101,
年迈的法师,0.1%,81,
年迈的酒仙,3.9%,105,
幻影海盗,0.2%,64,
幻术士,3.7%,95,
幼龙鹰,0.2%,46,
开心的食尸鬼,1.3%,104,
总督察,3.7%,99,
恐怖海盗,0.8%,71,
恐狼前锋,16.5%,141,
恶毒的召唤师,1.5%,79,
恶毒的银行家,0.5%,83,
恶毒铁匠,3.3%,108,
愤怒,38.5%,131,
憎恶,0.5%,95,
战利品贮藏者,9.9%,125,
托瓦格尔国王,0.1%,53,
托维尔塑石师,2.9%,109,
拉文霍德刺客,0.4%,101,
持盾卫士,0.1%,78,
摧心者,1.8%,106,
摩天龙,1.3%,71,
撼世者格朗勃尔,3.4%,114,
攻城车,0.5%,78,
无羁元素,22.8%,100,
无面操纵者,1.6%,114,
日怒保卫者,1.5%,122,
星火术,49.2%,132,
星辰坠落,42.4%,135,
暗夜嗥狼,1.6%,76,
暗夜徘徊者,0.5%,71,
暗鳞先知,0.1%,41,
暗鳞治愈者,4.2%,101,
暮光幼龙,5%,102,
暴怒的双头巨人,12.2%,113,
暴怒的狼人,3.8%,93,
暴掠龙幼崽,7.5%,103,
暴风城勇士,21.1%,123,
暴风城骑士,4%,98,
末日预言者,0.6%,106,
机械幼龙技工,3.6%,101,
机械异种蝎,1.3%,87,
杂毛秘术师,11.4%,110,
格鲁尔,0.5%,88,
梦魇融合怪,6.2%,117,
森金持盾卫士,8.2%,100,
欧克哈特大师,1.5%,141,
欧泽鲁克,0.2%,50,
死亡之翼,1.1%,123,
死灵恶鬼,11.2%,82,
死鳞骑士,0.2%,51,
毁灭之锤,10.5%,40,
比斯巨兽,0.3%,74,
沃拉斯,0.1%,59,
沙德沃克,4.7%,115,
治疗之雨,6.9%,91,
沼泽水蛭,1.5%,91,
沼泽爬行者,3.7%,91,
沼泽飞龙,1.6%,39,
沼泽龙蛋,1.6%,61,
法力之潮图腾,6%,95,
法力怨魂,0.4%,103,
泥沼狩猎者,3.1%,137,
海巨人,10.3%,143,
海德尼尔冰霜骑士,11.8%,131,
海潮涌动,30.7%,118,
海象人渔夫,14.9%,116,
淡水鳄,5.2%,97,
深蓝刃鳞龙人,13.6%,119,
温顺的巨壳龙,1.4%,124,
游学者周卓,0.1%,37,
游荡恶鬼,0.3%,72,
火元素,26.4%,144,
火山喷发,30.6%,170,
火山龙,7.9%,114,
火岩元素,13.7%,96,
火焰使者,4.6%,110,
火羽先锋,0.4%,39,
火羽凤凰,14.7%,122,
火羽精灵,26%,119,
火舌图腾,15.4%,182,
火车王里诺艾,0.6%,105,
灵魂回响,1.4%,142,
灵魂歌者安布拉,0.5%,95,
炽焰祈咒,24.3%,106,
烈日行者,8.8%,117,
热情的探险家,2%,109,
熔岩爆裂,10.6%,119,
熔火巨像,0.4%,90,
熔火恶犬,0.3%,80,
牛头人战士,0.6%,78,
狂奔的魔暴龙,15.8%,125,
狂奔科多兽,3.6%,120,
狂野炎术师,4.9%,113,
狗头人地卜师,2.6%,101,
狗头人学徒,8.8%,97,
狗头人拾荒者,0.2%,46,
狗头人武僧,3.5%,109,
狗头人隐士,7.4%,93,
狼人憎恶,4.4%,94,
狼人渗透者,3.6%,82,
狼骑兵,2.9%,95,
王牌猎人,1.3%,69,
玛里苟斯,0.4%,97,
瓦拉纳王子,0.2%,97,
疯帽客,1.3%,105,
疯狂投弹者,9.2%,125,
疯狂的炼金师,1.7%,124,
癫狂的医生,10.3%,97,
白银之手骑士,7.9%,114,
白银先锋,0.7%,90,
白骨幼龙,16.8%,119,
石丘防御者,26.9%,143,
石化武器,16.1%,110,
石塘猎人,10.1%,112,
石拳食人魔,9.8%,97,
石牙野猪,0.4%,58,
石皮蜥蜴,6.7%,173,
砂齿骑兵,0.2%,20,
破冰斧,0.2%,85,
破法者,9.2%,101,
破碎残阳祭司,8.6%,122,
破铜烂铁机器人,0.5%,66,
硬壳甲虫,11.1%,123,
穆克拉,0.2%,88,
穴居人食菌者,8.4%,104,
空气元素,8.6%,82,
窃魂者阿扎莉娜,0.3%,52,
竞技场主宰,1%,90,
符文之矛,4.6%,109,
筑巢双头鹏,27.2%,115,
米尔豪斯·法力风暴,0.1%,47,
精灵弓箭手,3%,94,
精灵龙,9%,114,
精神控制技师,13.1%,120,
紫罗兰教师,2.6%,106,
紫色岩虫,33.4%,130,
紫色岩虫,28.1%,119,
纳特·帕格,0.2%,69,
织法者,0.6%,72,
维库食尸鬼,2.7%,82,
绿洲钳嘴龟,1.7%,81,
绿皮船长,0.2%,93,
绿色凝胶怪,13.2%,103,
缚沙者,1.5%,100,
缚雾熊怪,0.7%,65,
翡翠掠夺者,2.2%,76,
翡翠蜂后,0.3%,52,
翼手龙宝宝,4.7%,106,
胡桃精,8.6%,96,
腐烂的苹果树,17.5%,108,
腐肉食尸鬼,3.8%,113,
腐蚀淤泥,12.8%,98,
臃肿的蛇颈龙,13.7%,115,
自爆憎恶,0.1%,41,
艾露恩的女祭司,0.6%,76,
苔藓恐魔,13.3%,127,
苦潮多头蛇,4.4%,141,
苦痛侍僧,7.7%,111,
荆棘帮暴徒,5%,92,
荆棘谷猛虎,6.3%,111,
荒蛮之主卡利莫斯,2%,136,
莫拉比,0.1%,54,
菌菇术士,39.6%,126,
菌菇附魔师,13.9%,117,
萨尔玛先知,0.4%,66,
萨隆苦囚,25.3%,121,
葛拉卡爬行蟹,2.6%,103,
蓝腮战士,2.4%,86,
藏宝巨龙,6.6%,101,
藏宝海湾保镖,0.6%,89,
蘑菇酿酒师,24.2%,125,
虚空撕裂者,3.5%,140,
蛇发女妖佐拉,0.8%,94,
蛛魔拆解者,0.3%,72,
蛮鱼图腾,19.4%,83,
蛮鱼斥候,0.7%,77,
蜡油元素,1%,64,
血帆海盗,0.1%,60,
血帆袭击者,5.5%,108,
血沼迅猛龙,4.2%,105,
血法师萨尔诺斯,0.5%,126,
血色十字军战士,5.4%,118,
血虫,1.5%,90,
血骑士,6.1%,118,
被污染的狂热者,5.2%,109,
被诅咒的门徒,18.8%,117,
视界术,1.2%,118,
诅咒教派领袖,9.1%,116,
诺兹多姆,0.2%,66,
负伤剑圣,1.1%,119,
贪睡巨龙,8.8%,91,
贪食软泥怪,2.3%,95,
资深档案管理员,0.2%,66,
达卡莱防御者,3%,84,
达卡莱附魔师,0.1%,53,
达拉然法师,0.3%,65,
迅捷的信使,20.4%,123,
迦顿男爵,1.8%,145,
迷失的幽魂,1.1%,70,
通道爬行者,6.7%,82,
邪骨骷髅,0.3%,50,
邪魂审判官,1.8%,75,
酸性沼泽软泥怪,12.6%,116,
野性之力,44.9%,149,
野性狼魂,30.3%,107,
野蛮咆哮,46.6%,140,
铁喙猫头鹰,3.9%,71,
铁炉堡火枪手,1.8%,81,
铁鬃灰熊,1.9%,94,
银月城卫兵,3.4%,122,
银背族长,0.2%,55,
银色侍从,6.3%,102,
银色指挥官,7.3%,133,
铸剑师,0.7%,81,
闪光的蘑菇,3.7%,102,
闪光的骏马,0.1%,58,
闪金镇步兵,0.3%,71,
阳焰瓦格里,13.9%,112,
阿古斯防御者,3.2%,140,
阿尔福斯,1%,126,
阿曼尼狂战士,5.9%,119,
阿莱克丝塔萨,1%,95,
雪崩,4.9%,89,
雪怒巨人,1%,67,
雪鳍企鹅,0.2%,61,
雷矛特种兵,2.9%,95,
雷霆蜥蜴,5.4%,106,
霍格,0.9%,113,
霜狼步兵,0.5%,84,
霜狼督军,6.7%,91,
静电震击,11.6%,75,
风剪唤风者,0.8%,98,
风怒,3.4%,76,
风怒鹰身人,0.7%,77,
风暴看守,6.6%,88,
风险投资公司雇佣兵,2.7%,103,
风领主奥拉基尔,5.7%,122,
飞刀杂耍者,3.8%,119,
食人魔法师,3.4%,111,
食肉魔块,3.6%,144,
饥饿的双头怪,2.8%,92,
骨魇,19.5%,128,
骷髅捣蛋鬼,0.3%,50,
骷髅法师,0.8%,78,
鬼祟恶魔,3.1%,138,
魅影民兵,6.5%,117,
魔古山守望者,0.3%,73,
魔暴龙蛋,0.3%,40,
魔瘾者,0.2%,56,
鱼人招潮者,0.1%,62,
鱼人杀手蟹,0.2%,63,
鱼人猎潮者,4.6%,104,
鱼人袭击者,0.3%,72,
鱼人领军,0.2%,88,
鲁莽火箭兵,2.4%,107,
麦田傀儡,8.5%,117,
麻风侏儒,0.3%,62,
黑暗之主,0.2%,23,
黑樟林树精,14.8%,117,
黑沼枭兽,0.4%,61,
黑铁矮人,12.9%,132,
黑骑士,2.3%,80,
龙骨卫士,1.5%,87,
