名称,抓取率,评分,
狼人憎恶,4.9%,97,
狼人渗透者,2.7%,87,
狼骑兵,2.3%,88,
王牌猎人,1.5%,66,
玛里苟斯,0.1%,94,
瓦拉纳王子,0.2%,97,
瓦格里摄魂者,2.1%,96,
疯帽客,0.5%,88,
疯狂投弹者,11%,124,
疯狂的炼金师,1%,119,
癫狂的医生,10.8%,92,
白银之手骑士,7%,115,
白银先锋,0.6%,85,
白骨幼龙,18.8%,116,
盾牌格挡,9.9%,65,
盾牌猛击,2.9%,135,
石丘防御者,26.4%,132,
石塘猎人,8.6%,100,
石拳食人魔,10%,107,
石牙野猪,0.2%,56,
石皮蜥蜴,17.5%,179,
砂齿骑兵,0.2%,29,
破法者,10.1%,110,
破碎残阳祭司,7.4%,103,
破铜烂铁机器人,0.4%,53,
硬壳甲虫,10.9%,117,
穆克拉,0.1%,92,
穴居人食菌者,6.8%,107,
窃魂者阿扎莉娜,0.2%,49,
竞技场主宰,0.9%,88,
筑巢双头鹏,24.5%,115,
精灵弓箭手,2.3%,95,
精灵龙,9.4%,111,
精神控制技师,12.3%,118,
紫罗兰教师,1.7%,103,
紫色岩虫,33.4%,130,
纳特·帕格,0.1%,65,
织法者,0.3%,61,
绝命乱斗,19.6%,124,
维库食尸鬼,2.7%,85,
绿洲钳嘴龟,1.3%,77,
绿皮船长,0.5%,135,
绿色凝胶怪,7.7%,92,
缚沙者,0.6%,85,
缚雾熊怪,0.2%,41,
翡翠掠夺者,1.3%,82,
翡翠蜂后,0.2%,42,
翼手龙宝宝,3.6%,110,
胡桃精,7.1%,91,
腐树巨人,6.9%,109,
腐烂的苹果树,17.4%,99,
腐肉食尸鬼,2%,84,
腐蚀淤泥,11.9%,99,
腐面,3.1%,67,
臃肿的蛇颈龙,15.9%,120,
自爆憎恶,0.2%,61,
致命武装,0.3%,61,
致死打击,4.7%,116,
艾露恩的女祭司,0.5%,71,
苔藓恐魔,16.7%,124,
苦潮多头蛇,6%,158,
苦痛侍僧,10.7%,123,
英勇打击,8.7%,128,
荆棘帮暴徒,14.2%,108,
荆棘谷猛虎,8.3%,113,
菌菇术士,39.6%,126,
菌菇术士,25.1%,127,
菌菇附魔师,12.4%,114,
萨尔玛先知,0.3%,66,
萨隆苦囚,20.4%,122,
葛拉卡爬行蟹,2.7%,98,
蓝腮战士,1.6%,85,
藏宝巨龙,8.9%,114,
藏宝海湾保镖,0.6%,86,
蘑菇酿酒师,25.8%,120,
虚空撕裂者,5.4%,120,
蛇发女妖佐拉,0.8%,80,
蛛魔拆解者,0.6%,71,
蛮鱼斥候,0.4%,68,
蜡油元素,0.5%,54,
血吼,27.4%,166,
血帆海盗,0.1%,60,
血帆袭击者,13.4%,124,
血沼迅猛龙,3.8%,107,
血法师萨尔诺斯,0.2%,104,
血色十字军战士,4.6%,119,
血虫,1.5%,83,
血骑士,6.8%,115,
被污染的狂热者,1.5%,87,
被诅咒的门徒,19.1%,126,
诅咒教派领袖,5.9%,106,
诺兹多姆,0.1%,66,
负伤剑圣,1.1%,107,
贪睡巨龙,9.6%,83,
贪食软泥怪,2.1%,92,
资深档案管理员,0.2%,66,
赤环蜂,6.4%,108,
身陷绝境的哨卫,0.5%,35,
达利乌斯·克罗雷,8.3%,135,
达拉然法师,0.1%,49,
迅捷的信使,27.5%,123,
迦顿男爵,2.8%,150,
迷失的幽魂,0.4%,49,
通道爬行者,1.7%,75,
邪骨骷髅,0.2%,41,
邪魂审判官,1.7%,66,
酸性沼泽软泥怪,12.4%,112,
野性之力,44.9%,149,
野蛮咆哮,46.6%,140,
铁刃护手,0.5%,65,
铁喙猫头鹰,2.3%,68,
铁炉堡火枪手,1.6%,66,
铁鬃灰熊,1.8%,97,
铜皮铁甲,0.8%,21,
银月城卫兵,3.1%,123,
银背族长,0.1%,51,
银色侍从,3.6%,109,
银色指挥官,7.2%,134,
铸剑师,0.4%,74,
铸甲师,2.3%,104,
闪光的蘑菇,2.2%,109,
闪光的骏马,0.1%,63,
闪金镇步兵,0.3%,69,
阳焰瓦格里,12.8%,96,
阿古斯防御者,1.7%,112,
阿尔福斯,0.9%,116,
阿曼尼狂战士,6.3%,128,
阿莱克丝塔萨,1.3%,92,
雪鳍企鹅,0.1%,61,
雷矛特种兵,3%,95,
雷霆蜥蜴,4.8%,100,
霍格,1.1%,113,
霜狼步兵,0.5%,81,
霜狼督军,3.5%,90,
顺劈斩,19.5%,117,
风怒鹰身人,0.4%,76,
风暴看守,3.7%,83,
风险投资公司雇佣兵,2.5%,101,
飞刀杂耍者,1.6%,121,
食人魔法师,3.7%,101,
食肉魔块,3.1%,137,
饥饿的双头怪,3.1%,84,
骨魇,23.6%,115,
骷髅法师,0.7%,78,
鬼祟恶魔,1.2%,101,
魅影民兵,6.9%,107,
魔古山守望者,0.4%,66,
魔暴龙蛋,0.3%,37,
鱼人招潮者,0.1%,60,
鱼人杀手蟹,0.1%,64,
鱼人猎潮者,3.2%,103,
鱼人袭击者,0.3%,77,
鱼人领军,0.2%,88,
鲁莽火箭兵,1.9%,105,
鲁莽风暴,2.4%,184,
麦田傀儡,9.8%,127,
麻风侏儒,0.2%,60,
黑嚎炮塔,0.2%,37,
黑暗之主,0.1%,22,
黑樟林树精,18.4%,118,
黑沼枭兽,0.2%,52,
黑色龙人铁匠,1%,79,
黑铁矮人,8.5%,127,
黑骑士,2.8%,70,
龙骨卫士,2%,84,
