名称,抓取率,评分,
智慧祝福,19.1%,107,
暂避锋芒,3.4%,58,
暗夜嗥狼,2.1%,77,
暗夜徘徊者,1.5%,74,
暗鳞先知,0.1%,55,
暗鳞劫掠者,2.5%,96,
暗鳞治愈者,4.4%,98,
暮光幼龙,3.3%,108,
暴怒的双头巨人,15.4%,113,
暴怒的狼人,5.3%,91,
暴掠龙幼崽,11.1%,103,
暴牙震颤者,10.4%,115,
暴走旋风,0.1%,68,
暴躁的巨龟,4.7%,95,
暴风城勇士,16.1%,109,
暴风城骑士,4.2%,96,
未鉴定的重槌,22.7%,181,
末日践行者,0.9%,101,
末日预言者,0.6%,97,
机械保险箱,17.3%,104,
机械克苏恩,0.1%,68,
机械幼龙技工,4%,99,
机械异种蝎,1.9%,87,
机械拷问者,4.4%,25,
机械推土牛,4.9%,94,
机械蛋,10.7%,92,
机械袋鼠,16.9%,130,
机械雏龙,2.4%,140,
杂毛秘术师,16.6%,113,
杂耍小鬼,0.1%,53,
格洛顿,21.7%,108,
格里伏塔,1.7%,120,
格鲁尔,0.6%,86,
梦魇之龙,2%,76,
梦魇融合怪,3.7%,116,
森金持盾卫士,7.8%,104,
棱彩透镜,1.9%,99,
横扫,48%,148,
橡果人,46.3%,117,
欢乐的发明家,1.7%,109,
欧克哈特大师,1%,125,
欧米茄防御者,7.3%,112,
正义保护者,16.6%,148,
武装皮纳塔,10.6%,122,
死亡之翼,0.5%,133,
死亡领主,2%,65,
死灵恶鬼,15.5%,89,
死鳞骑士,0.6%,66,
殊死一搏,2.5%,48,
毒性污水软泥怪,14%,113,
毒沼爬行者,16.3%,110,
毒物学家,1%,92,
毒蛇守卫,0.3%,42,
毒鳍鱼人,2.6%,72,
比斯巨兽,0.1%,83,
水文学家,16.8%,133,
水晶学,1.7%,68,
水晶工匠坎格尔,0.5%,119,
水晶雄狮,5.2%,123,
永不屈服,15%,62,
永恒祭司,2.5%,50,
污手街供货商,25.9%,116,
污手街守护者,22.8%,133,
污手街情报员,16.5%,122,
污手街惩罚者,25.5%,111,
污手街走私者,17.1%,96,
汤水商贩,1.1%,88,
沃拉斯,0.3%,63,
没电的铁皮人,0.1%,82,
沼泽水蛭,4.4%,113,
沼泽爬行者,4.4%,91,
沼泽飞龙,3.9%,60,
沼泽龙蛋,2%,78,
法力之池,0.5%,60,
法力怨魂,1%,100,
法拉基战斧,23.9%,119,
泥沼狩猎者,1.9%,128,
浴火者伯瓦尔,0.8%,132,
海巨人,4.5%,150,
海德尼尔冰霜骑士,9.9%,133,
海象人执法官,1.5%,88,
海象人渔夫,7.9%,112,
淡水鳄,4.6%,98,
淤泥喷射者,14.8%,116,
深渊滑行者索苟斯,1.2%,76,
深蓝刃鳞龙人,9.8%,112,
温顺的巨壳龙,0.7%,121,
游荡恶鬼,0.3%,74,
滑板机器人,3.6%,97,
火山龙,12.3%,115,
火岩元素,5.6%,88,
火树巫医,1.8%,96,
火焰使者,0.9%,88,
火羽凤凰,15.1%,117,
火羽精灵,13.5%,119,
火花引擎,1.8%,68,
火花钻机,2.3%,92,
火车王里诺艾,0.6%,102,
灵魂歌者安布拉,0.6%,96,
烈日行者,5.9%,113,
热心的酒保,15.7%,111,
热情的探险家,1.2%,110,
焦油爬行者,15.7%,117,
熔火巨像,0.4%,92,
熔火恶犬,0.4%,85,
燃鬃·自走炮,1.9%,140,
爆爆机器人,7.9%,103,
爆盐投弹手,1.3%,107,
爆破小队,5.9%,111,
牛头人战士,1%,77,
犯罪高手,17.8%,120,
狂奔的魔暴龙,10.2%,114,
狂奔科多兽,5.9%,106,
狂暴咒术师,7.4%,109,
狂热的新兵,4.8%,94,
狂野兽王,9.8%,119,
狂野炎术师,3.7%,123,
狗头人地卜师,1.7%,86,
狗头人学徒,11.7%,109,
狗头人拾荒者,0.9%,62,
狗头人武僧,0.8%,116,
狼人憎恶,4.5%,112,
狼人渗透者,4.6%,102,
狼骑兵,3.5%,93,
猛虎之灵,5.4%,123,
猢狲医者,9.1%,95,
猩红法力浮龙,3.5%,67,
王牌猎人,1.9%,80,
王者祝福,21.3%,151,
玛里苟斯,0.2%,103,
玻璃骑士,1.4%,164,
瓦兰奈尔,2.3%,157,
瓦拉纳王子,0.2%,97,
生而平等,15%,88,
生锈的回收机器人,4.7%,89,
甲虫卵,3.6%,74,
电磁脉冲特工,0.3%,72,
电能工匠,1.3%,91,
畸变的龙鹰,2.3%,77,
疯帽客,2.6%,93,
疯狂投弹者,8.3%,115,
疯狂的炼金师,2.9%,111,
疯狂的科学家,9.1%,103,
癫狂的医生,10.5%,94,
白银之手骑士,7.8%,114,
白银先锋,0.8%,78,
白骨幼龙,17.8%,115,
盲眼游侠,22.2%,108,
看台喷火龙,1%,78,
石丘防御者,22.9%,174,
石塘猎人,7.5%,108,
石拳食人魔,7.9%,107,
石牙野猪,0.6%,69,
石皮蜥蜴,12.9%,153,
砂齿骑兵,0.3%,64,
破法者,11.9%,96,
破盾者,1.6%,71,
破碎残阳祭司,9.3%,109,
破铜烂铁机器人,0.6%,63,
硬壳甲虫,7.4%,125,
神圣之力,11%,70,
神圣愤怒,4.1%,95,
神恩术,6.5%,84,
神秘之刃,20.2%,128,
禁忌治疗,1.7%,69,
穆克拉,0.1%,97,
穴居人强盗,2.3%,92,
穴居人食菌者,10.2%,100,
窃魂者阿扎莉娜,0.2%,56,
竞技场主宰,1.4%,92,
竞技场财宝箱,0.8%,77,
等级提升！,0.8%,40,
筑巢双头鹏,18.7%,116,
精灵弓箭手,3.8%,111,
精灵龙,8.4%,116,
精神控制技师,0.3%,116,
紫罗兰典狱官,16.9%,101,
紫罗兰教师,3.5%,105,
紫罗兰魔剑士,1.6%,100,
紫色岩虫,17.6%,116,
纳迦海盗,12.3%,123,
织法者,0.4%,68,
绞肉车,0.1%,51,
维库食尸鬼,6.5%,84,
绿洲钳嘴龟,2.4%,86,
绿皮船长,0.1%,110,
绿色凝胶怪,7.5%,107,
缚沙者,0.5%,70,
缚雾熊怪,0.8%,61,
群星罗列者,0.2%,95,
翡翠掠夺者,4.5%,101,
翡翠蜂后,0.5%,68,
翼手龙宝宝,7.9%,110,
肉用僵尸,7.9%,143,
胡桃精,10.7%,95,
脑力激荡者,0.3%,49,
脱逃的样本,0.3%,98,
腐化先知,4.6%,104,
腐化治疗机器人,3.8%,90,
腐烂的苹果树,16%,107,
腐肉食尸鬼,4.8%,110,
腐蚀淤泥,7.7%,99,
臃肿的蛇颈龙,3.9%,120,
自动防御矩阵,15.9%,70,
自爆憎恶,0.1%,54,
舞动之剑,3.3%,53,
艾尔文灾星霍格,1.5%,87,
艾泽里特元素,0.7%,67,
艾露恩的女祭司,0.8%,76,
苔藓恐魔,4.8%,113,
苦潮多头蛇,5.3%,128,
苦痛侍僧,7.7%,111,
英勇药水,30%,147,
茶水小弟,2.4%,120,
荆棘帮小偷,11.3%,93,
荆棘帮巫婆,5.7%,127,
荆棘帮暴徒,9.6%,94,
荆棘谷猛虎,6.2%,105,
药水商人,9.9%,88,
莫什奥格执行者,6.2%,105,
莫什奥格播报员,13.7%,139,
莱妮莎·炎伤,1.9%,69,
莽头食人魔,7.8%,122,
菌菇术士,29%,141,
菌菇附魔师,7.2%,118,
萎缩射线,15.9%,105,
萨尔玛先知,0.8%,69,
萨隆苦囚,12.2%,125,
萨隆铁矿监工,6.2%,128,
葛拉卡爬行蟹,2.8%,110,
蒙面选手,0.6%,80,
蓝腮战士,2.8%,87,
藏宝巨龙,6.9%,120,
藏宝海湾保镖,0.9%,90,
藏宝海湾荷官,0.8%,65,
蘑菇酿酒师,12.8%,123,
虚空撕裂者,3%,125,
蛇发女妖佐拉,1%,91,
蛛魔之卵,3.3%,95,
蛛魔拆解者,0.6%,74,
蛮鱼勇士,1.3%,97,
蛮鱼斥候,0.7%,79,
蜡油元素,1.2%,62,
血帆海盗,0.4%,71,
血帆袭击者,7.7%,116,
血沼迅猛龙,4.4%,107,
血法师萨尔诺斯,0.2%,112,
血爪,18.2%,134,
血色十字军战士,7.4%,113,
血虫,3.2%,93,
血骑士,1.8%,99,
被污染的狂热者,4.3%,94,
被诅咒的门徒,15%,124,
警钟哨卫,5.9%,107,
诅咒教派领袖,8.2%,127,
诺兹多姆,0.1%,67,
诺萨莉,1.4%,53,
调皮的噬踝者,13.6%,117,
谦逊,14.1%,104,
负伤剑圣,1.9%,114,
责难,2.5%,76,
贪睡巨龙,10.1%,87,
贪食软泥怪,2.9%,94,
资深档案管理员,0.3%,72,
赛场狂热者,23.1%,103,
赞达拉武士,5.1%,99,
蹒跚的食尸鬼,4.3%,91,
蹩脚海盗,0.6%,62,
载人毁灭机,1.4%,107,
达卡莱幻术师,6.7%,114,
达卡莱附魔师,0.1%,56,
达拉然图书管理员,9.2%,101,
达拉然圣剑士,32.6%,135,
达拉然法师,0.2%,58,
迅捷的信使,20.1%,121,
迈克斯纳,0.7%,107,
远古祝福,47.9%,127,
远古造物之血,0.3%,75,
迦顿男爵,1.1%,128,
迷失丛林,8.1%,139,
迷失的幽魂,1.4%,59,
退役冠军,15.4%,126,
送葬者,2.9%,80,
送葬者安德提卡,1.2%,87,
适者生存,12.6%,96,
通电机器人,0.3%,54,
通道爬行者,4.9%,85,
邪兽人噬魂魔,0.8%,93,
邪教药剂师,5.2%,73,
邪骨骷髅,0.5%,54,
邪魂审判官,3.1%,76,
邪鳍审判者,2%,93,
郭雅夫人,0.2%,60,
酸性沼泽软泥怪,12%,111,
重装佣兵,11.9%,123,
野猪骑士斯派克,8.6%,117,
野蛮咆哮,42.8%,131,
量产型恐吓机,7.2%,130,
钢铁暴怒者,9.1%,107,
钳嘴龟盾卫,1.5%,132,
铁喙猫头鹰,4.1%,64,
铁炉堡火枪手,2.5%,87,
铁皮恐角龙,49.6%,111,
铁鬃灰熊,3.1%,96,
银月城卫兵,3.9%,111,
银背族长,0.4%,58,
银色侍从,7.4%,120,
银色保卫者,25.1%,139,
银色指挥官,7%,127,
铸剑师,1.6%,77,
闪光的蘑菇,1.8%,100,
闪光的骏马,0.3%,69,
闪金镇步兵,0.6%,80,
阳焰瓦格里,5.5%,113,
阵线破坏者,9.2%,98,
阿古斯防御者,5.3%,117,
阿尔福斯,2.3%,123,
阿曼尼战熊,36.2%,122,
阿曼尼狂战士,9.4%,118,
阿莱克丝塔萨,0.8%,86,
隐秘的智慧,2.1%,63,
隐鳞药剂师,4.4%,90,
集结之刃,26.7%,144,
雪鳍企鹅,0.3%,63,
雷矛特种兵,3.3%,96,
雷霆蜥蜴,6.1%,96,
霍格,0.9%,114,
霜狼步兵,0.9%,82,
霜狼督军,7.4%,104,
霸气的旅店老板娘,2.7%,87,
青铜门卫,6.4%,87,
风怒鹰身人,0.9%,77,
风暴看守,7.5%,87,
风险投资公司雇佣兵,2.9%,110,
风驰电掣,30.7%,96,
飞刀杂耍者,6.7%,127,
飞弹机器人,3.2%,118,
食人魔法师,2.9%,101,
食肉魔块,8.9%,128,
饥饿的双头怪,3.3%,98,
香蕉小丑,18.4%,81,
驯龙师,0.1%,31,
骨魇,17.3%,122,
骷髅捣蛋鬼,0.2%,63,
骷髅法师,1.6%,80,
高阶祭司塞卡尔,3.6%,120,
鬼灵爬行者,27.4%,138,
鬼祟恶魔,3.6%,109,
魅影歹徒,7.2%,115,
魅影民兵,6.9%,109,
魔古山守望者,0.7%,74,
魔暴龙蛋,0.8%,78,
魔法订书匠,12.1%,120,
魔法飞毯,1.2%,84,
魔瘾者,0.5%,57,
魔精大师兹伊希,0.6%,93,
鱼人大厨,0.2%,76,
鱼人招潮者,0.4%,74,
鱼人杀手蟹,0.4%,86,
鱼人猎潮者,4.9%,114,
鱼人袭击者,0.6%,95,
鱼人领军,0.4%,91,
鲁莽火箭兵,3.2%,99,
鲨鳍后援,5.8%,91,
麦田傀儡,9%,122,
麻风侏儒,0.4%,72,
黑心票贩,24.2%,128,
黑暗之主,0.2%,30,
黑暗低语者,1%,86,
黑暗曙光,26.9%,100,
黑暗裁决,18.1%,99,
黑樟林树精,15.8%,117,
黑水海盗,1.3%,79,
黑沼枭兽,0.3%,56,
黑色卫士,1.7%,92,
黑色龙人铁匠,1.6%,80,
黑金大亨,0.2%,69,
黑铁矮人,14.8%,125,
黑骑士,1.3%,91,
鼬鼠挖掘工,0.1%,72,
龙喉喷火者,33.1%,142,
龙语者,2.5%,69,
龙骨卫士,2.2%,79,
