名称,抓取率,评分,
暗鳞治愈者,4.9%,96,
暮光幼龙,5%,106,
暮光烈焰召唤者,25.9%,145,
暮色野猪,1.3%,83,
暴怒的双头巨人,20%,114,
暴怒的狼人,5.4%,97,
暴掠龙幼崽,6.9%,98,
暴牙震颤者,10.3%,116,
暴走旋风,0.1%,71,
暴躁的巨龟,3.3%,97,
暴风城勇士,9.7%,106,
暴风城骑士,4.2%,96,
暴风雪,27.4%,138,
末日学徒,1.1%,68,
末日践行者,0.9%,101,
末日预言者,1.2%,96,
机械保险箱,18.3%,99,
机械克苏恩,0.1%,69,
机械幼龙技工,3.5%,93,
机械异种蝎,1.3%,87,
机械推土牛,5.2%,96,
机械袋鼠,12%,111,
机械雏龙,2.3%,142,
杂毛秘术师,17.7%,109,
杂耍小鬼,0.3%,63,
格里伏塔,1.1%,121,
格鲁尔,0.4%,89,
档案员艾丽西娜,1.4%,97,
梦魇融合怪,3.5%,114,
森金持盾卫士,8.4%,100,
模拟幻影,0.4%,37,
横扫,48%,148,
橡果人,46.3%,117,
欢乐的发明家,1.4%,109,
欧克哈特大师,1.3%,128,
欧泽鲁克,0.1%,54,
欧米茄防御者,7.4%,115,
武装皮纳塔,8.9%,124,
死亡之翼,0.6%,138,
死亡领主,1.7%,64,
死灵恶鬼,6.9%,86,
死鳞骑士,0.3%,59,
毒沼爬行者,16.8%,110,
毒物学家,0.1%,75,
比斯巨兽,0.1%,84,
气象学家,1.8%,98,
水元素,37%,125,
汤水商贩,0.5%,81,
没电的铁皮人,0.1%,82,
沼泽水蛭,3.9%,98,
沼泽爬行者,5%,92,
沼泽飞龙,6.8%,61,
沼泽龙蛋,1.3%,47,
法力之池,1.2%,73,
法力怨魂,1.2%,99,
法力浮龙,3.8%,74,
法力飓风,8.8%,121,
法术共鸣,3%,87,
法术反制,11.5%,98,
波戈蒙斯塔,0.4%,73,
泥沼狩猎者,3%,126,
活体风暴,25%,127,
派烙斯,2.4%,200,
海巨人,3.1%,137,
海德尼尔冰霜骑士,17.3%,133,
海象人渔夫,22.4%,121,
淡水鳄,4.8%,96,
淤泥喷射者,13.9%,115,
深蓝刃鳞龙人,9%,114,
温顺的巨壳龙,1.2%,121,
游荡恶鬼,0.4%,75,
滑板机器人,2.9%,88,
火山药水,24.3%,126,
火山龙,12.3%,115,
火岩元素,5.8%,100,
火树巫医,2.5%,101,
火焰使者,2.7%,102,
火焰狂人,37.4%,127,
火球术,17.9%,156,
火羽凤凰,22.9%,124,
火羽精灵,22.3%,135,
火花引擎,1.5%,71,
火花钻机,2.9%,99,
火车王里诺艾,0.5%,105,
灵魂歌者安布拉,0.5%,98,
灼烧,12.8%,134,
炎爆术,9.7%,105,
烈日行者,5.7%,113,
烈焰喷涌,20.6%,132,
热心的酒保,18.4%,108,
热情的探险家,1.9%,113,
焦油爬行者,29.8%,123,
熔岩镜像,3.1%,106,
熔火巨像,0.3%,97,
熔火恶犬,0.5%,89,
燃烬风暴,11%,119,
爆炸符文,19.7%,125,
爆爆机器人,6.7%,103,
爆盐投弹手,1.5%,108,
爆破小队,6.5%,111,
牛头人战士,1%,72,
特殊坐骑商人,11.2%,101,
狂奔的魔暴龙,14%,117,
狂奔科多兽,6.6%,123,
狂暴咒术师,19.5%,116,
狂热的新兵,3.6%,79,
狂热铸魂者,6.7%,110,
狂野兽王,8.9%,121,
狂野炎术师,4.3%,123,
狗头人地卜师,3.4%,101,
狗头人学徒,8.6%,113,
狗头人武僧,1.4%,116,
狼人憎恶,6.9%,126,
狼人渗透者,4.4%,88,
狼骑兵,3.7%,95,
猢狲医者,8.8%,93,
猩红法力浮龙,5.3%,67,
王牌猎人,2.3%,66,
玛里苟斯,0.4%,103,
瑞文戴尔男爵,0.1%,80,
瓦拉纳王子,0.2%,98,
生锈的回收机器人,5.3%,85,
甲虫卵,1.8%,62,
电磁脉冲特工,0.3%,70,
电能工匠,2.5%,94,
畸变狂战士,13.9%,90,
畸变的龙鹰,1.7%,79,
疯帽客,1.7%,88,
疯狂召唤师,0.4%,75,
疯狂投弹者,11.3%,114,
疯狂的炼金师,2.9%,110,
疯狂的科学家,11.6%,126,
癫狂的医生,15.2%,97,
癫狂的唤冰者,1.9%,65,
白银之手骑士,7.6%,115,
白银先锋,0.8%,82,
白骨幼龙,17.7%,117,
盲眼游侠,21.8%,110,
看台喷火龙,1.5%,79,
石丘防御者,12.6%,150,
石塘猎人,9.9%,106,
石拳食人魔,8.2%,107,
石牙野猪,0.5%,64,
石皮蜥蜴,23.3%,155,
砂齿骑兵,0.4%,51,
破咒珠宝师,9.5%,111,
破法者,9.3%,109,
破盾者,1.4%,73,
破碎残阳祭司,7.3%,103,
破铜烂铁机器人,0.4%,53,
硬壳甲虫,13%,125,
禁忌烈焰,10.8%,135,
秘法学家,20.8%,136,
秘法宝典,16.5%,109,
穆克拉,0.1%,95,
穴居人强盗,3.2%,92,
穴居人食菌者,8.6%,100,
窃魂者阿扎莉娜,0.2%,54,
竞技场主宰,1.4%,93,
竞技场奴隶主,0.3%,46,
竞技场财宝箱,0.4%,63,
竞技推广员,0.8%,74,
筑巢双头鹏,22.4%,117,
篝火元素,7%,102,
精灵弓箭手,3.7%,113,
精灵龙,10.2%,117,
精神控制技师,0.4%,117,
紫罗兰典狱官,22%,106,
紫罗兰教师,4.8%,102,
紫罗兰魔剑士,2.6%,111,
紫色岩虫,33%,130,
纳克萨玛斯之影,3.4%,123,
纳迦海盗,4.1%,110,
织法者,1.1%,79,
维库食尸鬼,3.9%,85,
绿洲钳嘴龟,2.4%,85,
绿色凝胶怪,6.1%,108,
缚沙者,1.1%,81,
缚雾熊怪,0.4%,48,
群星罗列者,0.3%,90,
翡翠掠夺者,3.1%,89,
翡翠蜂后,0.4%,60,
翼手龙宝宝,5.3%,110,
耶比托·乔巴斯,0.3%,102,
肉用僵尸,5.1%,124,
肯瑞托三修法师,3.7%,89,
肯瑞托法师,5.9%,118,
胡桃精,9.6%,94,
脑力激荡者,0.7%,46,
脱逃的样本,0.5%,99,
腐化先知,5.2%,107,
腐化治疗机器人,5.1%,87,
腐烂的苹果树,21.8%,106,
腐肉食尸鬼,3.5%,98,
腐蚀淤泥,7.2%,105,
臃肿的蛇颈龙,6.7%,122,
自爆憎恶,0.2%,63,
舞动之剑,2.9%,53,
艾尔文灾星霍格,1.3%,89,
艾泽里特元素,1.6%,74,
艾露恩的女祭司,0.8%,77,
苔藓恐魔,6%,119,
苦潮多头蛇,4.1%,127,
苦痛侍僧,8.5%,120,
茶水小弟,2.4%,105,
荆棘帮小偷,11.5%,93,
荆棘帮巫婆,4.3%,126,
荆棘帮暴徒,0.8%,84,
荆棘谷猛虎,7.5%,106,
药水商人,9.7%,79,
莫什奥格执行者,6.4%,106,
莽头食人魔,8.2%,126,
菌菇术士,28.5%,126,
菌菇附魔师,6.2%,114,
萨尔玛先知,0.5%,68,
萨隆苦囚,14.7%,126,
萨隆铁矿监工,6.5%,116,
葛拉卡爬行蟹,3.9%,112,
蒙面选手,1%,85,
蒸发,5.9%,81,
蒸汽涌动者,13.5%,143,
蓝腮战士,3.3%,87,
藏宝巨龙,6.3%,121,
藏宝海湾保镖,1%,92,
藏宝海湾荷官,0.7%,65,
蘑菇酿酒师,20.6%,124,
虚灵奥术师,2.4%,64,
虚空撕裂者,4.7%,125,
蛇发女妖佐拉,0.8%,89,
蛛魔之卵,1.7%,68,
蛛魔先知,20.3%,117,
蛛魔拆解者,0.5%,75,
蛮鱼斥候,0.7%,74,
蜡油元素,1%,65,
血帆海盗,0.4%,66,
血帆袭击者,3.7%,96,
血沼迅猛龙,4.5%,104,
血法师萨尔诺斯,0.3%,126,
血色十字军战士,6.2%,111,
血虫,2.5%,91,
血骑士,1.2%,99,
被污染的狂热者,6.3%,116,
被诅咒的门徒,23.2%,125,
裂地触须,7.1%,90,
裂魂残像,6.2%,94,
观星者露娜,3.9%,162,
诅咒教派领袖,5.9%,117,
诺兹多姆,0.1%,68,
调皮的噬踝者,14.5%,120,
负伤剑圣,1.6%,113,
贪睡巨龙,10.2%,89,
贪食软泥怪,2.2%,99,
费尔根,0.5%,105,
资深档案管理员,0.5%,80,
赛场狂热者,17.4%,107,
蹒跚的食尸鬼,6.4%,87,
蹩脚海盗,0.1%,48,
载人毁灭机,1.5%,112,
辛达苟萨,5%,108,
达卡莱幻术师,6%,115,
达卡莱附魔师,0.1%,54,
达拉然圣剑士,36.9%,134,
达拉然法师,0.5%,72,
迅捷的信使,24.6%,121,
迈克斯纳,0.5%,107,
远古之树,9.3%,96,
远古祝福,47.9%,127,
远古造物之血,0.4%,77,
远古雕文,15.9%,160,
迦顿男爵,1%,134,
迷失的幽魂,0.8%,55,
迸射流星,23.9%,124,
退役冠军,17.7%,128,
送葬者安德提卡,1.1%,88,
通电机器人,0.1%,51,
通道爬行者,2.5%,86,
邪教药剂师,7.2%,73,
邪骨骷髅,0.3%,56,
邪魂审判官,2.9%,66,
郭雅夫人,0.1%,54,
酸性沼泽软泥怪,13.2%,109,
重装佣兵,12.3%,121,
野猪骑士斯派克,10.4%,119,
野蛮咆哮,42.8%,131,
量产型恐吓机,3.6%,130,
钢铁暴怒者,11.1%,114,
钳嘴龟盾卫,1.8%,129,
铁喙猫头鹰,3.8%,65,
铁炉堡火枪手,2.5%,89,
铁皮恐角龙,49.6%,111,
铁鬃灰熊,3.2%,95,
银月城卫兵,3.3%,106,
银背族长,0.3%,58,
银色侍从,5.7%,110,
银色指挥官,5.5%,129,
铸剑师,1.2%,79,
镜像,8.9%,87,
镜像实体,25.4%,100,
闪光的蘑菇,1.2%,109,
闪光的骏马,0.2%,69,
闪金镇步兵,0.5%,75,
闹闹机器人,14.1%,106,
阳焰瓦格里,6.1%,109,
阿古斯防御者,4.7%,110,
阿尔福斯,1.2%,120,
阿曼尼狂战士,11.2%,111,
阿莱克丝塔萨,0.7%,89,
阿诺玛鲁斯,0.4%,99,
陨石术,22.5%,192,
隐秘破坏者,2.1%,34,
隐鳞药剂师,3.2%,90,
雪鳍企鹅,0.2%,64,
雷矛特种兵,4%,100,
雷霆蜥蜴,7.3%,103,
霍格,0.7%,111,
霜冻射线,18.2%,118,
霜狼步兵,0.9%,84,
霜狼督军,4.7%,88,
露娜的口袋银河,1.5%,81,
霸气的旅店老板娘,2.2%,85,
青铜门卫,3.4%,84,
风怒鹰身人,0.8%,78,
风暴看守,6.4%,91,
风险投资公司雇佣兵,3.7%,87,
飞刀杂耍者,4.1%,130,
飞弹机器人,3.3%,121,
飞行管理员,10.4%,111,
食人魔法师,4.5%,109,
食肉魔块,6.4%,129,
饥饿的双头怪,3.1%,99,
香蕉小丑,14.3%,81,
骨魇,19%,120,
骷髅捣蛋鬼,0.1%,60,
骷髅法师,0.9%,78,
鬼影巫师,10.2%,104,
鬼灵爬行者,18.3%,135,
鬼祟恶魔,1.6%,104,
魅影歹徒,4.7%,111,
魅影民兵,5.6%,106,
魔古山守望者,0.6%,70,
魔暴龙蛋,0.3%,64,
魔术戏法,34%,86,
魔法蓝蛙,11.5%,91,
魔法订书匠,16.9%,119,
魔法飞毯,0.6%,83,
魔爆术,17.7%,117,
魔瘾者,0.7%,56,
魔精大师兹伊希,0.7%,95,
魔网操控者,16.3%,142,
鱼人大厨,0.1%,66,
鱼人招潮者,0.3%,68,
鱼人杀手蟹,0.4%,81,
鱼人猎潮者,4.5%,106,
鱼人袭击者,0.6%,81,
鱼人领军,0.4%,88,
鲁莽火箭兵,3.3%,101,
鲁莽试验,6.4%,102,
鲨鳍后援,0.9%,76,
麦田傀儡,8.1%,114,
麻风侏儒,0.4%,63,
黑心票贩,24.5%,131,
黑暗之主,0.2%,32,
黑暗低语者,1.1%,76,
黑樟林树精,18.6%,112,
黑水海盗,0.2%,61,
黑沼枭兽,0.7%,65,
黑色龙人铁匠,0.2%,74,
黑金大亨,0.2%,69,
黑铁矮人,9.8%,120,
黑骑士,1.2%,101,
黑龙领主死亡之翼,0.4%,86,
鼬鼠挖掘工,0.1%,65,
龙骨卫士,1.7%,79,
龙鹰之灵,3.1%,106,
