名称,抓取率,评分,
铁炉堡火枪手,3.3%,90,
铁皮恐角龙,49.6%,111,
铁钩掠夺者,16.2%,125,
铁鬃灰熊,3.7%,101,
银月城卫兵,2.8%,109,
银背族长,0.4%,65,
银色侍从,6.9%,111,
银色指挥官,5.1%,131,
铸剑师,1.4%,75,
闪光的蘑菇,1.7%,105,
闪光的骏马,0.1%,69,
闪金镇步兵,0.8%,79,
闹闹机器人,14.2%,115,
阳焰瓦格里,7.1%,110,
阵线破坏者,8.4%,101,
阿兰纳丝蛛后,40.5%,119,
阿古斯防御者,5.5%,119,
阿尔福斯,1.7%,106,
阿曼尼战熊,39.3%,127,
阿曼尼狂战士,10.6%,116,
阿莱克丝塔萨,0.8%,90,
隐秘破坏者,1.6%,38,
隐鳞药剂师,3.9%,91,
雪鳍企鹅,0.5%,66,
雷矛特种兵,3.9%,102,
雷霆蜥蜴,6.5%,98,
霍格,0.8%,120,
霜狼步兵,1.1%,85,
霜狼督军,6.4%,102,
霸气的旅店老板娘,2.6%,93,
青铜门卫,4.8%,94,
风怒鹰身人,0.7%,78,
风暴看守,5.4%,93,
风险投资公司雇佣兵,3.1%,84,
飞刀杂耍者,5.8%,134,
飞弹机器人,3%,117,
飞行管理员,13.3%,114,
食人魔法师,3.7%,106,
食肉魔块,8%,128,
饥饿的双头怪,4%,114,
饥饿的翼手龙,20.2%,115,
首席门徒林恩,2.4%,109,
香蕉小丑,14.4%,81,
骄傲的防御者,33.9%,135,
骨魇,11%,122,
骷髅捣蛋鬼,0.2%,65,
骷髅法师,0.8%,78,
高弗雷勋爵,1.7%,139,
高阶祭司耶克里克,3.9%,137,
鬼灵爬行者,31.1%,138,
鬼灵骑士,8.2%,101,
鬼祟恶魔,2.7%,104,
魅影歹徒,3.8%,115,
魅影民兵,7.3%,118,
魅魔,2.7%,100,
魔古山守望者,0.7%,81,
魔暴龙蛋,0.7%,83,
魔法飞毯,1.4%,85,
魔瘾结晶者,22.6%,119,
魔瘾者,0.4%,57,
魔精大师兹伊希,0.8%,97,
鱼人大厨,0.1%,66,
鱼人招潮者,0.4%,68,
鱼人杀手蟹,0.5%,80,
鱼人猎潮者,5.4%,115,
鱼人袭击者,0.8%,85,
鱼人领军,0.4%,90,
鲁莽火箭兵,3.3%,101,
鲜血女巫,3.2%,96,
鲜血女王兰娜瑟尔,0.1%,42,
鲜血小鬼,4.8%,82,
鲜血巨魔工兵,13.8%,86,
鲨鳍后援,1%,76,
麦田傀儡,9.6%,117,
麻风侏儒,0.6%,63,
黑心票贩,14.6%,126,
黑暗之主,0.2%,30,
黑暗低语者,1.2%,77,
黑暗契约,2.7%,7,
黑暗附体,10.6%,104,
黑樟林树精,19.2%,115,
黑水海盗,0.2%,62,
黑沼枭兽,0.4%,60,
黑色龙人铁匠,0.2%,75,
黑金大亨,0.3%,70,
黑铁矮人,14.2%,124,
黑骑士,1.4%,104,
黑龙领主死亡之翼,0.3%,84,
鼬鼠挖掘工,0.2%,64,
龙喉喷火者,37.4%,147,
龙骨卫士,1.2%,81,
