名称,抓取率,评分,
辟法奇美拉,7%,95,
辟法巨龙,15%,146,
辟法灵龙,7%,109,
辟法龙人,22.9%,112,
达拉然图书管理员,4.4%,88,
达拉然圣剑士,17%,117,
达拉然法师,0.2%,52,
迅捷的信使,18.7%,110,
远古之树,0.2%,101,
迦顿男爵,0.8%,124,
迪菲亚清道夫,0.1%,97,
迷失的幽魂,1.2%,59,
迷失的陆行鸟,8.1%,103,
迷彩飞艇,3.7%,85,
适者生存,0.2%,108,
逃脱的恐惧卫士,1.9%,46,
通电机器人,0.3%,54,
邪犬,2.8%,82,
邪魂审判官,1.6%,76,
邪鳍导航员,5.7%,90,
酸性沼泽软泥怪,7.9%,99,
量产型恐吓机,7.2%,130,
金甲虫,14.3%,108,
钢铁暴怒者,9.1%,107,
钳嘴龟盾卫,0.1%,143,
钴制卫士,2.8%,88,
铁喙猫头鹰,3.4%,69,
铁炉堡火枪手,1.8%,83,
铁鬃灰熊,1.9%,92,
银剑,31.6%,158,
银月城卫兵,3.3%,92,
银背族长,0.1%,59,
银色侍从,7%,102,
银色保卫者,41.4%,147,
银色指挥官,4.5%,115,
铸剑师,1.1%,70,
锈誓信徒,10.9%,86,
锈誓新兵,13.8%,114,
锈骑劫匪,37.9%,136,
锐鳞骑士,16.4%,98,
闪金镇步兵,0.4%,78,
闹闹机器人,0.2%,104,
防护改装师,30.8%,132,
阿努比萨斯战争使者,4.2%,82,
阿古斯防御者,5%,118,
阿曼尼狂战士,5.3%,104,
阿莱克丝塔萨,0.7%,85,
阿达尔之手,58.6%,144,
陶罐商人,6.5%,90,
隐秘的智慧,1.5%,54,
隐秘破坏者,0.9%,17,
隐鳞药剂师,4.4%,90,
雷矛特种兵,2.8%,93,
雷霆蜥蜴,0.1%,88,
霍格,0.5%,108,
霜狼步兵,0.5%,80,
霜狼督军,9.4%,100,
霸气的旅店老板娘,2.2%,82,
青铜传令官,28.8%,119,
青铜门卫,6.4%,87,
青铜龙探险者,48.7%,154,
颤地者特罗格佐尔,0.9%,75,
风怒鹰身人,0.8%,68,
风险投资公司雇佣兵,1.6%,61,
飞刀杂耍者,3.7%,114,
飞天鱼人,2.1%,78,
飞弹机器人,3.2%,118,
飞行器,1.6%,48,
飞行管理员,5.4%,99,
食人魔勇士穆戈尔,0.5%,98,
食人魔步兵,14.3%,104,
食人魔法师,2.2%,92,
食腐破坏魔,31.6%,104,
骄傲的防御者,13.2%,121,
高级跟班厄尔克,0.1%,47,
鬼灵骑士,0.2%,96,
鬼祟恶魔,0.1%,121,
魂缚灰舌,0.7%,67,
魅影民兵,5.9%,103,
魔古山守望者,0.4%,71,
魔法幻象,0.4%,73,
魔法订书匠,6.3%,103,
魔法飞毯,0.5%,88,
魔瘾者,0.1%,49,
魔能机甲,1.5%,149,
鱼人为王,0.1%,16,
鱼人投手,9.1%,95,
鱼人招潮者,0.2%,74,
鱼人木乃伊,8.8%,107,
鱼人杀手蟹,0.3%,71,
鱼人猎潮者,3.2%,110,
鱼人袭击者,0.4%,85,
鱼人领军,0.4%,88,
鲁莽火箭兵,2.5%,89,
鳞甲领主,18.7%,109,
麦田傀儡,6.5%,100,
麻风侏儒,0.5%,65,
黏指狗头人,1.1%,70,
黑暗曙光,0.3%,98,
黑樟林树精,15.4%,100,
黑沼枭兽,0.2%,50,
黑铁矮人,10.3%,122,
黑骑士,1%,98,
齿轮光锤,11.4%,209,
齿轮大师,5.3%,75,
龙喉巡天者,31.3%,123,
龙眠净化者,1.5%,89,
龙语者,1.8%,84,
龙骑士塔瑞萨,1.9%,99,
龙骨卫士,9.7%,91,
