名称,费用,职业,稀有度,评分,评级,建议不选多张,
巫术替身,6,中立,普通,87,5,,
巴罗夫领主,3,战士,传说,191,1,,
希亚玛特,7,中立,传说,147,1,,
帝王眼镜蛇,3,中立,稀有,113,3,,
年轻的女祭司,1,中立,稀有,85,6,,
年轻的酒仙,2,中立,普通,91,5,,
年迈的法师,4,中立,稀有,56,7,,
年迈的酒仙,4,中立,普通,90,5,,
幻化师,2,中立,史诗,108,3,,
幼龙饲养员,2,中立,稀有,108,3,,
幼龙鹰,1,中立,普通,48,7,,
库卡隆精英卫士,4,战士,普通,106,3,,
废土刺客,5,中立,普通,114,2,,
废土守望者,5,中立,史诗,101,4,,
废土巨蝎,7,中立,普通,100,4,,
废料场巨像,10,中立,稀有,101,4,,
废铁魔像,5,战士,稀有,91,5,,
异教低阶牧师,2,中立,稀有,119,2,,
弗瑞兹·光巢,4,中立,传说,106,3,,
怒火中烧,0,战士,普通,92,5,,
怪盗军需官,3,战士,普通,116,2,,
怪盗布缆鼠,2,中立,普通,114,2,,
恐怖海盗,4,中立,普通,100,4,,
恐惧渡鸦,3,中立,史诗,109,3,,
恐狼前锋,2,中立,普通,97,4,,
恶毒铁匠,5,中立,普通,100,4,,
恶狼大法师,10,中立,史诗,101,4,,
惊恐的仆从,2,战士,普通,176,1,,
感知宝珠,1,中立,传说,43,7,,
愤怒之灾祸,5,战士,稀有,119,2,,
愤怒的小鸡,1,中立,稀有,47,7,,
慷慨的木乃伊,3,中立,稀有,0,7,,
憎恶,5,中立,稀有,57,7,,
战利品贮藏者,2,中立,普通,93,5,,
战斗怒火,2,战士,普通,128,2,,
战槌挑战者,3,战士,史诗,188,1,,
战歌指挥官,3,战士,普通,45,7,,
扫荡打击,2,战士,稀有,110,3,,
投入战斗,1,战士,稀有,45,7,,
报警机器人,3,中立,稀有,29,7,,
拉文霍德刺客,7,中立,稀有,73,6,,
招虫的地精,3,中立,稀有,77,6,,
持枪恶霸,5,中立,史诗,100,4,,
持盾卫士,1,中立,普通,55,7,,
捣蛋鬼,3,中立,史诗,76,6,,
推土壮汉,9,中立,普通,110,3,,
提振士气,1,战士,普通,126,2,,
收割之镰,4,战士,稀有,214,1,,
攻城车,3,中立,稀有,74,6,,
散财军士,4,中立,普通,107,3,,
斩杀,2,战士,普通,120,2,,
新生刺头,1,中立,普通,110,3,,
方阵指挥官,5,中立,普通,83,6,,
旅行医者,4,中立,普通,95,5,,
旋翼机,6,中立,普通,87,5,,
旋风斩,1,战士,普通,77,6,,
无面操纵者,5,中立,史诗,112,3,,
无面暴怒者,3,中立,普通,82,6,,
无面潜伏者,5,中立,普通,77,6,,
无面腐蚀者,5,中立,稀有,128,2,,
日怒保卫者,2,中立,稀有,105,3,,
昆虫收藏家,2,中立,普通,99,4,,
显眼的诱饵,6,中立,史诗,41,7,,
暗鳞先知,1,中立,普通,45,7,,
暗鳞治愈者,5,中立,普通,83,6,,
暮光幼龙,4,中立,稀有,105,3,,
暴乱狂战士,3,战士,稀有,128,2,,
暴怒的狼人,3,中立,普通,79,6,,
暴走旋风,8,中立,史诗,50,7,,
暴风城勇士,7,中立,普通,73,6,,
暴风城骑士,4,中立,普通,76,6,,
月亮巨人守护者,10,中立,传说,80,6,,
末日预言者,2,中立,史诗,56,7,,
机械保险箱,6,中立,普通,84,6,,
机械幼龙技工,4,中立,普通,84,6,,
机械拷问者,4,中立,稀有,25,7,,
机械法医,5,中立,史诗,17,7,,
校长克尔苏加德,5,中立,传说,113,3,,
格罗玛什·地狱咆哮,8,战士,传说,125,2,,
格鲁尔,8,中立,传说,72,6,,
档案员艾丽西娜,9,中立,传说,75,6,,
森金持盾卫士,4,中立,普通,92,5,,
横冲直撞,3,战士,史诗,118,2,,
欢快的同伴,1,中立,普通,83,6,,
欧米茄毁灭者,4,战士,史诗,145,1,,
止水湖蛇颈龙,5,中立,普通,114,2,,
死亡之翼,10,中立,传说,88,5,,
毒鳍鱼人,1,中立,普通,62,7,,
比斯巨兽,6,中立,传说,82,6,,
毕业仪式,7,战士,稀有,49,7,,
沙漠方尖碑,5,中立,史诗,22,7,,
沙漠野兔,3,中立,普通,72,6,,
沸血蛮兵,7,战士,稀有,130,2,,
沼泽爬行者,5,中立,普通,77,6,,
法力之池,2,中立,普通,39,7,,
法力怨魂,2,中立,稀有,92,5,,
法奥瑞斯国王,10,中立,传说,60,7,,
活化扫帚,1,中立,普通,108,3,,
活化纪念碑,10,中立,普通,91,5,,
活化龙息,3,中立,普通,111,3,,
流沙元素,2,中立,稀有,115,2,,
浮夸的大四学长,6,中立,普通,132,1,,
海巨人,10,中立,史诗,111,3,,
海盗之锚,3,战士,传说,107,3,,
海盗藏品,2,战士,稀有,64,7,,
海蛇蛋,2,中立,普通,39,7,,
淡水鳄,2,中立,普通,95,5,,
深坑鳄鱼,8,中立,普通,113,3,,
深潜炸弹,1,中立,稀有,41,7,,
深蓝系咒师,5,中立,稀有,87,5,,
渊狱至尊,8,中立,普通,91,5,,
游学者周卓,2,中立,传说,35,7,,
潜地蝎,4,中立,普通,128,2,,
火箭改装师,1,中立,普通,121,2,,
火鹰,3,中立,普通,127,2,,
灰发巫师,2,中立,史诗,109,3,,
灼光战斗法师,1,中立,普通,94,5,,
炸弹牛仔,3,战士,稀有,141,1,,
炽炎战斧,3,战士,普通,165,1,,
烈日行者,6,中立,稀有,88,5,,
热气球,1,中立,普通,77,6,,
焦躁的木乃伊,4,战士,普通,169,1,,
熔火吐息,4,战士,稀有,107,3,,
熔火恶犬,7,中立,普通,69,6,,
爆破之王砰砰,7,战士,传说,81,6,,
牛头人战士,3,中立,普通,69,6,,
特殊坐骑商人,7,中立,稀有,91,5,,
狂傲的兽人,3,中立,普通,128,2,,
狂奔科多兽,5,中立,稀有,94,5,,
狂暴,2,战士,普通,83,6,,
狂暴邪翼蝠,4,中立,稀有,64,7,,
狂野炎术师,2,中立,稀有,115,2,,
狐人恶棍,3,中立,史诗,131,2,,
狗头人地卜师,2,中立,普通,73,6,,
狗头人沙漠步兵,2,中立,普通,62,7,,
狼人渗透者,1,中立,普通,88,5,,
狼骑兵,3,中立,普通,85,6,,
猛击,2,战士,普通,127,2,,
王牌猎人,5,中立,史诗,58,7,,
玛瑟里顿,4,中立,传说,0,7,,
玛维·影歌,4,中立,传说,122,2,,
玛里苟斯,9,中立,传说,68,7,,
甩笔侏儒,1,中立,普通,120,2,,
电缆长枪,3,战士,史诗,205,1,,
疯狂召唤师,6,中立,稀有,58,7,,
疯狂巨龙死亡之翼,8,战士,传说,124,2,,
疯狂投弹者,2,中立,普通,110,3,,
疯狂的炼金师,2,中立,稀有,101,4,,
白银之手骑士,5,中立,普通,93,5,,
白骨怨灵,4,中立,普通,114,2,,
盾牌格挡,3,战士,普通,82,6,,
盾牌猛击,1,战士,史诗,83,6,,
矮人考古学家,2,中立,史诗,107,3,,
石拳食人魔,6,中立,普通,101,4,,
石牙野猪,1,中立,普通,58,7,,
砰砰博士的阴谋,4,战士,普通,60,7,,
砰砰战队,1,战士,普通,117,2,,
砰砰机甲,10,战士,传说,102,4,,
破咒珠宝师,3,中立,稀有,108,3,,
破甲骑士,5,中立,普通,84,6,,
破碎残阳祭司,3,中立,普通,96,4,,
硕铠鼠,6,战士,传说,103,4,,
祖达克仪祭师,4,中立,稀有,42,7,,
神圣暴怒者,4,中立,普通,117,2,,
神殿狂战士,2,中立,普通,125,2,,
穆克拉,3,中立,传说,100,4,,
空中悍匪,1,战士,普通,111,3,,
空中炮艇,3,战士,稀有,104,4,,
空军指挥官,4,中立,普通,60,7,,
空间撕裂器,10,战士,稀有,58,7,,
空降歹徒,2,中立,普通,76,6,,
竞技场主宰,6,中立,普通,81,6,,
米尔豪斯·法力风暴,2,中立,传说,0,7,,
精灵弓箭手,1,中立,普通,103,4,,
精灵龙,2,中立,普通,110,3,,
紫罗兰典狱官,6,中立,普通,93,5,,
紫罗兰教师,4,中立,稀有,92,5,,
紫罗兰魔剑士,4,中立,普通,64,7,,
红龙女王阿莱克丝塔萨,9,中立,传说,112,3,,
纳特·帕格,2,中立,传说,62,7,,
绝命乱斗,5,战士,史诗,107,3,,
维克图斯,5,中立,传说,135,1,,
绿洲钳嘴龟,4,中立,普通,80,6,,
绿皮船长,5,中立,传说,93,5,,
美味飞鱼,2,中立,普通,79,6,,
耶比托·乔巴斯,8,中立,传说,85,6,,
胁迫,3,战士,稀有,143,1,,
腐肉食尸鬼,3,中立,普通,54,7,,
致死打击,4,战士,稀有,103,4,,
舒玛,7,中立,传说,113,3,,
艾泽里特元素,5,中立,史诗,53,7,,
艾露恩的女祭司,6,中立,普通,60,7,,
英勇打击,2,战士,普通,124,2,,
荆棘帮小偷,3,中立,普通,97,4,,
荆棘帮巫婆,4,中立,史诗,119,2,,
荆棘帮斗猪,2,中立,普通,147,1,,
荆棘谷猛虎,5,中立,普通,103,4,,
荣誉护盾,1,战士,普通,100,4,,
药水商人,1,中立,普通,67,7,,
莫尔葛工匠,2,中立,史诗,125,2,,
莽头食人魔,8,中立,史诗,103,4,,
萨尔玛先知,3,中立,普通,54,7,,
萨索瓦尔,9,中立,传说,90,5,,
萨维斯,6,中立,传说,109,3,,
蓝腮战士,2,中立,普通,80,6,,
藏宝匪贼,4,中立,稀有,87,5,,
藏宝海湾保镖,5,中立,普通,76,6,,
虚灵改装师,1,中立,普通,118,2,,
血吼,7,战士,史诗,158,1,,
血帆海盗,1,中立,稀有,71,6,,
血帆袭击者,2,中立,普通,119,2,,
血沼迅猛龙,2,中立,普通,101,4,,
血法师萨尔诺斯,2,中立,传说,84,6,,
血色十字军战士,3,中立,普通,122,2,,
血誓雇佣兵,3,战士,史诗,85,6,,
血骑士,3,中立,史诗,99,4,,
血骨傀儡,9,战士,传说,239,1,,
被禁锢的甘尔葛,1,战士,普通,224,1,,
被禁锢的邪犬,2,中立,普通,122,2,,
被缚的魔像,7,中立,稀有,148,1,,
裹尸匠,4,中立,史诗,79,6,,
角鹰兽,4,中立,普通,98,4,,
触手恐吓者,5,中立,史诗,68,7,,
诅咒教派领袖,4,中立,普通,100,4,,
诺兹多姆,9,中立,传说,59,7,,
课桌小鬼,0,中立,普通,67,7,,
负伤剑圣,3,中立,稀有,104,4,,
贪婪的书虫,2,中立,稀有,125,2,,
贫瘠之地饲养员,7,中立,史诗,75,6,,
赤红急先锋,4,中立,普通,120,2,,
起泡的腐泥怪,3,中立,稀有,64,7,,
转校生,2,中立,史诗,143,1,,
辟法奇美拉,2,中立,普通,79,6,,
辟法巨龙,6,中立,普通,152,1,,
辟法灵龙,4,中立,普通,112,3,,
辟法龙人,7,中立,普通,112,3,,
达拉然图书管理员,2,中立,普通,98,4,,
达拉然圣剑士,5,中立,普通,128,2,,
达拉然法师,3,中立,普通,45,7,,
迦顿男爵,7,中立,传说,110,3,,
迷彩飞艇,6,中立,普通,82,6,,
逃脱的恐惧卫士,3,中立,普通,54,7,,
邪犬,2,中立,普通,83,6,,
邪鳍导航员,4,中立,普通,85,6,,
酸性沼泽软泥怪,2,中立,普通,113,3,,
重甲暴徒,6,战士,普通,113,3,,
金甲虫,3,中立,普通,96,4,,
钢铁舞者,4,战士,史诗,128,2,,
钥匙专家阿拉巴斯特,7,中立,传说,139,1,,
铁喙猫头鹰,3,中立,普通,80,6,,
铁炉堡火枪手,3,中立,普通,75,6,,
铁鬃灰熊,3,中立,普通,87,5,,
银月城卫兵,4,中立,普通,95,5,,
银背族长,3,中立,普通,51,7,,
银色侍从,1,中立,普通,96,4,,
银色指挥官,6,中立,稀有,116,2,,
铸剑师,2,中立,稀有,75,6,,
铸甲师,2,战士,稀有,100,4,,
锈誓信徒,4,中立,普通,64,7,,
锈誓新兵,2,中立,普通,128,2,,
锈骑劫匪,5,中立,普通,136,1,,
锐鳞骑士,3,中立,普通,95,5,,
闪金镇步兵,1,中立,普通,68,7,,
问题学生,8,战士,稀有,151,1,,
防护改装师,1,中立,普通,116,2,,
防护长袍,3,中立,稀有,88,5,,
阿努比萨斯战争使者,9,中立,普通,88,5,,
阿古斯防御者,4,中立,稀有,103,4,,
阿拉希武器匠,4,战士,普通,176,1,,
阿曼尼狂战士,2,中立,普通,118,2,,
阿莱克丝塔萨,9,中立,传说,84,6,,
陵墓守望者,8,战士,稀有,104,4,,
陶罐商人,1,中立,普通,69,6,,
隐秘破坏者,6,中立,史诗,0,7,,
雏龙巨婴,5,中立,普通,120,2,,
雷矛特种兵,5,中立,普通,86,6,,
霍格,6,中立,传说,99,4,,
霜狼步兵,2,中立,普通,77,6,,
霜狼督军,5,中立,普通,93,5,,
霸气的旅店老板娘,8,中立,普通,57,7,,
顺劈斩,2,战士,普通,135,1,,
风怒鹰身人,6,中立,普通,59,7,,
风险投资公司雇佣兵,5,中立,普通,83,6,,
飞刀杂耍者,2,中立,稀有,109,3,,
飞天鱼人,5,中立,史诗,56,7,,
飞行管理员,3,中立,普通,107,3,,
食人魔巫术师,5,中立,普通,84,6,,
食人魔法师,4,中立,普通,86,6,,
食腐破坏魔,6,中立,普通,105,3,,
食魔影豹,2,中立,普通,110,3,,
驯化的雷象,3,中立,史诗,100,4,,
骄傲的防御者,4,中立,普通,114,2,,
高级跟班厄尔克,4,中立,传说,82,6,,
魂缚灰舌,1,中立,普通,76,6,,
魔化大锅,3,中立,史诗,104,4,,
魔古信徒,1,中立,史诗,44,7,,
魔古山守望者,4,中立,普通,61,7,,
魔杖工匠,2,中立,普通,105,3,,
魔法幻象,4,中立,稀有,63,7,,
魔法订书匠,2,中立,普通,106,3,,
魔法飞毯,3,中立,史诗,74,6,,
魔瘾者,2,中立,稀有,55,7,,
魔药始祖龙,8,中立,普通,124,2,,
鱼人投手,2,中立,普通,101,4,,
鱼人招潮者,1,中立,稀有,66,7,,
鱼人木乃伊,1,中立,普通,97,4,,
鱼人杀手蟹,1,中立,史诗,64,7,,
鱼人猎潮者,2,中立,普通,89,5,,
鱼人袭击者,1,中立,普通,72,6,,
鱼人领军,3,中立,史诗,84,6,,
鱼人飞骑,4,中立,普通,127,2,,
鲁莽火箭兵,6,中立,普通,79,6,,
麦田傀儡,3,中立,普通,108,3,,
麻疯侏儒,1,中立,普通,60,7,,
黏指狗头人,5,中立,史诗,76,6,,
黑岩法术抄写员,6,中立,普通,131,2,,
黑铁矮人,4,中立,普通,132,1,,
黑骑士,6,中立,传说,99,4,,
龙喉巡天者,6,中立,普通,122,2,,
龙眠净化者,2,中立,史诗,99,4,,
