名称,职业,稀有度,评分,评级,适合该职业,建议不选多张,
巨型独眼怪,中立,史诗,67,3,适合,,
巫医,中立,普通,57,4,适合,,
巫术替身,中立,普通,58,4,不适合,,
希拉斯·暗月,中立,传说,63,3,,,
帝王眼镜蛇,中立,稀有,61,3,,,
年轻的女祭司,中立,稀有,63,3,适合,,
年轻的酒仙,中立,普通,50,4,,,
年迈的法师,中立,稀有,32,6,,,
年迈的酒仙,中立,普通,47,5,,,
幼龙鹰,中立,普通,10,7,,,
废土守望者,中立,史诗,72,2,,,
废料场巨像,中立,稀有,75,2,不适合,,
异变的狗头人,中立,普通,13,7,,,
异教低阶牧师,中立,稀有,61,3,,,
异教药剂师,中立,普通,52,4,适合,,
异种群居蝎,中立,稀有,5,7,,,
弃暗投明,术士,史诗,13,7,,是,
影光学者,术士,稀有,73,2,,,
怒鳍猎潮者,中立,普通,68,3,适合,,
怨影狂怒者,中立,普通,15,7,,,
怨灵捣蛋鬼,术士,史诗,55,4,,,
恐怖增生体,中立,史诗,67,3,适合,,
恐怖海盗,中立,普通,34,6,,,
恐惧地狱火,术士,普通,89,1,,,
恐狼前锋,中立,普通,72,2,适合,,
恩佐斯,中立,传说,49,5,适合,,
恩佐斯的子嗣,中立,普通,49,5,适合,,
恩佐斯的触须,中立,普通,27,7,不适合,,
恩佐斯，深渊之神,中立,传说,72,2,不适合,,
恶毒铁匠,中立,普通,57,4,,,
恶魔之火,术士,普通,56,4,,,
恶魔卫士,术士,稀有,45,5,,,
恶魔研习,术士,普通,66,3,,,
惊骇恐魔,中立,普通,47,5,不适合,,
感知宝珠,中立,传说,55,4,适合,是,
感知恶魔,术士,普通,41,5,,是,
愤怒的小鸡,中立,稀有,9,7,,,
憎恶,中立,稀有,38,6,不适合,,
战利品贮藏者,中立,普通,53,4,不适合,,
扭曲学识,术士,普通,86,1,,是,
扭曲的狼人,中立,普通,56,4,,,
扭曲虚空,术士,史诗,59,4,,是,
报警机器人,中立,稀有,1,7,,,
拉文霍德刺客,中立,稀有,43,5,不适合,,
持枪恶霸,中立,史诗,63,3,,,
持盾卫士,中立,普通,30,6,适合,,
提克特斯,术士,传说,68,3,,,
摇滚堕落者,术士,普通,76,2,,,
改进型恐惧魔王,术士,稀有,83,1,,,
攻城恶魔,术士,稀有,71,2,,,
攻城车,中立,稀有,49,5,适合,,
教导主任加丁,中立,传说,73,2,适合,,
旋岩虫,中立,普通,48,5,,,
无面巨兽,中立,普通,30,6,不适合,,
无面操纵者,中立,史诗,56,4,,,
无面蹒跚者,中立,史诗,51,4,,,
日怒保卫者,中立,稀有,65,3,适合,,
暗影烈焰,术士,稀有,73,2,,,
暗影箭,术士,普通,66,3,,,
暗影议会,术士,史诗,73,2,,,
暗月兔子,中立,史诗,53,4,不适合,,
暗月雕像,中立,普通,66,3,,,
暗月飞船,中立,普通,81,1,,,
暗鳞先知,中立,普通,6,7,,,
暗鳞治愈者,中立,普通,62,3,适合,,
暮光召唤师,中立,史诗,63,3,适合,,
暮光幼龙,中立,稀有,69,3,适合,,
暮色野猪,中立,普通,29,7,,,
暴怒的狼人,中立,普通,55,4,,,
暴风城勇士,中立,普通,68,3,,,
暴风城骑士,中立,普通,58,4,,,
末日灾祸,术士,史诗,75,2,,是,
末日践行者,中立,史诗,47,5,,,
末日降临,术士,史诗,76,2,,是,
末日预言者,中立,史诗,55,4,适合,,
机械幼龙技工,中立,普通,50,4,,,
校园精魂,术士,普通,77,2,,,
校长克尔苏加德,中立,传说,80,1,适合,,
格鲁尔,中立,传说,55,4,不适合,,
梦魇之龙,中立,史诗,57,4,,,
森金持盾卫士,中立,普通,65,3,适合,,
止水湖蛇颈龙,中立,普通,74,2,,,
死亡之翼,中立,传说,90,1,不适合,,
死亡缠绕,术士,普通,81,1,,,
毒沼爬行者,中立,普通,80,1,适合,,
比斯巨兽,中立,传说,44,5,,,
沼泽爬行者,中立,普通,62,3,适合,,
法力怨魂,中立,稀有,53,4,,,
波戈蒙斯塔,中立,传说,44,5,,,
活化扫帚,中立,普通,76,2,,,
浮夸的大四学长,中立,普通,90,1,,,
海巨人,中立,史诗,82,1,,,
淡水鳄,中立,普通,56,4,,,
深渊滑行者索苟斯,中立,传说,65,3,适合,,
深渊领主,术士,史诗,52,4,,,
混乱凝视者,术士,史诗,68,3,,,
混乱套牌,术士,传说,12,7,,,
渊狱至尊,中立,普通,50,4,不适合,,
游学者周卓,中立,传说,8,7,,,
潜地蝎,中立,普通,90,1,,,
火圈鬼母,术士,普通,101,1,,,
火箭改装师,中立,普通,79,2,适合,,
灵魂之火,术士,普通,71,2,,,
灵魂剥离,中立,稀有,78,2,,,
灵魂学家玛丽希亚,中立,传说,55,4,适合,,
灵魂虹吸,术士,稀有,91,1,,,
炫目火鸟,中立,普通,63,3,,,
烈日行者,中立,稀有,69,3,适合,,
烈焰小鬼,术士,普通,71,2,,,
熔火恶犬,中立,普通,31,6,,,
牛头人战士,中立,普通,31,6,适合,,
牺牲契约,术士,普通,8,7,,是,
狂乱传染,术士,稀有,27,7,,,
狂傲的兽人,中立,普通,76,2,适合,,
狂奔科多兽,中立,稀有,73,2,,,
狂暴邪翼蝠,中立,稀有,50,4,适合,,
狂欢小丑,中立,史诗,75,2,,,
狂热的,中立,普通,49,5,适合,,
狂野炎术师,中立,稀有,63,3,适合,,
狗头人地卜师,中立,普通,47,5,适合,,
狼人渗透者,中立,普通,62,3,适合,,
狼骑兵,中立,普通,53,4,,,
王牌猎人,中立,史诗,64,3,,是,
玛瑟里顿,中立,传说,30,6,适合,,
玛维·影歌,中立,传说,91,1,,,
玛里苟斯,中立,传说,48,5,,,
甩笔侏儒,中立,普通,66,3,,,
畸变狂战士,中立,普通,59,4,,,
畸变的龙鹰,中立,普通,24,7,,,
疯狂投弹者,中立,普通,69,3,,,
疯狂的炼金师,中立,稀有,58,4,适合,,
癫狂的游客,术士,普通,68,3,,,
白银之手骑士,中立,普通,65,3,,,
百变泽鲁斯,中立,传说,50,4,,,
盛装演员,中立,普通,51,4,,,
着魔村民,术士,普通,70,2,,,
石拳食人魔,中立,普通,66,3,,,
石牙野猪,中立,普通,43,5,适合,,
破碎残阳祭司,中立,普通,68,3,适合,,
砸场游客,中立,普通,55,4,,,
神圣暴怒者,中立,普通,66,3,,,
禁忌仪式,术士,稀有,58,4,,,
穆克拉,中立,传说,55,4,,,
竞技场主宰,中立,普通,50,4,适合,,
米尔豪斯·法力风暴,中立,传说,31,6,,,
精灵弓箭手,中立,普通,64,3,适合,,
精灵龙,中立,普通,60,3,,,
精魂狱卒,中立,普通,76,2,,,
紫罗兰教师,中立,稀有,64,3,,,
纳特·帕格,中立,传说,15,7,不适合,,
维克图斯,中立,传说,82,1,,,
绿洲钳嘴龟,中立,普通,50,4,,,
绿皮船长,中立,传说,39,6,,,
脆骨破坏者,中立,稀有,107,1,适合,,
脱轨过山车,中立,稀有,55,4,适合,,
腐化先知,中立,稀有,61,3,,,
腐化治疗机器人,中立,稀有,64,3,,,
腐肉食尸鬼,中立,普通,53,4,适合,,
腐蚀术,术士,普通,43,5,,,
艾尔文灾星霍格,中立,传说,81,1,不适合,,
艾露恩的女祭司,中立,普通,41,5,适合,,
荆棘谷猛虎,中立,普通,64,3,,,
莫尔葛工匠,中立,史诗,71,2,适合,,
萨尔玛先知,中立,普通,24,7,,,
萨维斯,中立,传说,73,2,适合,,
蓝鳃战士,中立,普通,52,4,适合,,
藏宝海湾保镖,中立,普通,41,5,适合,,
虚灵改装师,中立,普通,73,2,,,
虚空召唤,术士,普通,30,6,,,
虚空吸食者,术士,史诗,62,3,,,
虚空恐魔,术士,稀有,43,5,,,
虚空行者,术士,普通,73,2,,,
蛛魔先知,中立,普通,73,2,,,
蠕动的恐魔,中立,普通,75,2,,,
血帆海盗,中立,稀有,34,6,,是,
血帆袭击者,中立,普通,56,4,,,
血沼迅猛龙,中立,普通,56,4,,,
血法师萨尔诺斯,中立,传说,56,4,不适合,,
血肉巨人,中立,史诗,73,2,适合,,
血色十字军战士,中立,普通,68,3,,,
血骑士,中立,史诗,61,3,,,
被感染的牛头人,中立,普通,60,3,适合,,
被感染的贮藏者,中立,普通,51,4,不适合,,
被禁锢的拾荒小鬼,术士,稀有,92,1,,,
被禁锢的邪犬,中立,普通,84,1,,,
裂地触须,中立,普通,56,4,适合,,
诅咒教派领袖,中立,普通,56,4,不适合,,
诺兹多姆,中立,传说,35,6,不适合,,
课桌小鬼,中立,普通,29,7,适合,,
负伤剑圣,中立,稀有,58,4,,,
贪婪的书虫,中立,稀有,59,4,不适合,,
贫瘠之地饲养员,中立,史诗,34,6,适合,,
资深探险者,中立,稀有,56,4,,,
赤红急先锋,中立,普通,69,3,,,
起泡的腐泥怪,中立,稀有,51,4,,,
转校生,中立,史诗,90,1,,,
达拉然法师,中立,普通,14,7,,,
迅蹄珠齿象,中立,普通,71,2,不适合,,
远古造物之血,中立,史诗,38,6,不适合,,
连环灾难,术士,史诗,75,2,,,
迦顿男爵,中立,传说,79,2,不适合,,
逃脱的恐惧卫士,中立,普通,33,6,,,
邪恶低语,术士,稀有,50,4,,,
邪能学说,中立,史诗,33,6,不适合,,
邪魔仆从,术士,普通,60,3,,,
邪鳍导航员,中立,普通,49,5,,,
酸性沼泽软泥怪,中立,普通,61,3,适合,,
钥匙专家阿拉巴斯特,中立,传说,91,1,不适合,,
铁喙猫头鹰,中立,普通,36,6,,,
铁炉堡火枪手,中立,普通,48,5,适合,,
铁鬃灰熊,中立,普通,53,4,适合,,
银月城卫兵,中立,普通,53,4,,,
银背族长,中立,普通,19,7,适合,,
银色侍从,中立,普通,68,3,适合,,
银色指挥官,中立,稀有,76,2,,,
铸剑师,中立,稀有,43,5,适合,,
锈誓,中立,普通,68,3,,,
锈誓信徒,中立,普通,49,5,,是,
锈骑劫匪,中立,普通,86,1,适合,,
闪金镇步兵,中立,普通,36,6,适合,,
闹闹机器人,中立,普通,69,3,适合,,
防护改装师,中立,普通,86,1,,,
防护长袍,中立,稀有,55,4,,,
阴暗渔夫纳特,中立,传说,18,7,,,
阿古斯防御者,中立,稀有,68,3,适合,,
阿曼尼狂战士,中立,普通,69,3,,,
阿莱克丝塔萨,中立,传说,66,3,适合,,
雷矛特种兵,中立,普通,57,4,,,
霍格,中立,传说,72,2,适合,,
霜狼步兵,中立,普通,40,5,适合,,
霜狼督军,中立,普通,65,3,适合,,
风怒鹰身人,中立,普通,30,6,,,
风险投资公司雇佣兵,中立,普通,50,4,不适合,,
飞刀杂耍者,中立,稀有,71,2,适合,,
食人魔巫术师,中立,普通,66,3,,,
食人魔法师,中立,普通,51,4,,,
食腐破坏魔,中立,普通,80,1,,,
食魔影豹,中立,普通,67,3,不适合,,
香蕉商贩,中立,普通,50,4,,,
马戏团医师,中立,普通,77,2,适合,,
马戏团融合怪,中立,普通,75,2,,,
驯化的雷象,中立,史诗,67,3,,,
骨网之卵,术士,稀有,41,5,,,
高级跟班厄尔克,中立,传说,14,7,适合,,
高阶女巫维洛,术士,传说,53,4,,,
魂缚灰舌,中立,普通,8,7,不适合,,
魔化大锅,中立,史诗,41,5,,,
魔古山守望者,中立,普通,43,5,,,
魔杖工匠,中立,普通,74,2,适合,,
魔犬,术士,普通,33,6,,,
魔瘾者,中立,稀有,23,7,不适合,,
魔药始祖龙,中立,普通,77,2,不适合,,
鱼人招潮者,中立,稀有,30,6,,,
鱼人杀手蟹,中立,史诗,33,6,,是,
鱼人猎潮者,中立,普通,63,3,适合,,
鱼人袭击者,中立,普通,41,5,,,
鱼人领军,中立,史诗,50,4,,,
鱼人飞骑,中立,普通,83,1,,,
鲁莽火箭兵,中立,普通,49,5,,,
鲜血小鬼,术士,普通,56,4,,,
麦田傀儡,中立,普通,65,3,,,
麻风侏儒,中立,普通,18,7,适合,,
黑岩法术抄写员,中立,普通,80,1,,,
黑暗之门,术士,稀有,13,7,,,
黑暗低语者,中立,史诗,56,4,适合,,
黑水海盗,中立,稀有,30,6,,,
黑眼,术士,史诗,63,3,,,
黑铁矮人,中立,普通,78,2,适合,,
黑骑士,中立,传说,87,1,,,
黑龙领主死亡之翼,中立,传说,45,5,不适合,,
龙喉巡天者,中立,普通,82,1,,,
