名称,抓取率,评分,
深坑鳄鱼,26.8%,124,
深渊巨蟒,0.5%,165,
深渊探险,0.5%,125,
深潜炸弹,0.6%,47,
深蓝系咒师,10.1%,124,
渊狱至尊,9%,97,
湖之仙女,0.1%,63,
滑板机器人,4%,96,
潜地蝎,40.7%,132,
火岩元素,0.3%,82,
火焰使者,0.1%,82,
火箭改装师,22.4%,142,
火羽精灵,0.4%,120,
火花引擎,1.8%,59,
火花钻机,2.5%,93,
火车王里诺艾,0.5%,106,
火鹰,14.8%,115,
灰发巫师,1.1%,83,
灰舌杀手,14.1%,128,
灼光战斗法师,17.4%,108,
烈日行者,6.4%,110,
烛火吐息,9.2%,97,
热心的酒保,0.4%,112,
热气球,7.8%,84,
焦油爬行者,0.5%,127,
熔火恶犬,0.4%,80,
熟练的水手,1.4%,93,
爆爆机器人,6.6%,105,
爆盐投弹手,1.2%,106,
爆破小队,0.1%,103,
牛头人战士,0.7%,80,
特殊坐骑商人,5.1%,100,
犯罪高手,0.2%,113,
狂傲的兽人,30.3%,123,
狂奔的魔暴龙,0.1%,141,
狂奔科多兽,4.3%,94,
狂暴邪翼蝠,3.7%,77,
狂热的新兵,0.1%,87,
狂野兽王,0.1%,111,
狂野炎术师,3.7%,117,
狐人恶棍,5%,147,
狗头人地卜师,2.2%,74,
狗头人学徒,0.2%,111,
狗头人幻术师,0.1%,95,
狗头人武僧,0.1%,99,
狗头人沙漠步兵,2.8%,62,
独眼欺诈者,1.2%,87,
狼人憎恶,3.5%,106,
狼人欺诈者,0.1%,92,
狼人渗透者,2.6%,103,
狼骑兵,4%,95,
猢狲医者,0.4%,90,
猩红法力浮龙,0.1%,64,
玉莲帮刺客,0.1%,115,
王牌猎人,2.2%,75,
玛克扎尔王子,0.1%,113,
玛瑟里顿,0.9%,139,
玛维·影歌,3.1%,129,
玛里苟斯,0.3%,83,
瑟玛普拉格,0.6%,83,
生锈的回收机器人,6.1%,106,
电磁脉冲特工,0.2%,70,
电能工匠,0.9%,93,
电能工匠,0.9%,93,
畸变狂战士,0.3%,90,
畸变的龙鹰,0.1%,75,
疯帽客,2.9%,81,
疯狂之灾祸,2.5%,55,
疯狂召唤师,0.1%,68,
疯狂投弹者,5.7%,93,
疯狂爆破者,5%,82,
疯狂的炼金师,2.8%,93,
疯狂的科学家,0.1%,90,
疯狂的药剂师,19.4%,130,
疾跑,21.4%,99,
瘟疫使者,29.5%,117,
癫狂的医生,16.9%,98,
白银之手骑士,9.1%,100,
白银先锋,0.1%,67,
白骨怨灵,21.1%,128,
盗墓匪贼,0.6%,130,
矮人考古学家,1.7%,94,
石丘防御者,0.3%,157,
石化迅猛龙,0.4%,138,
石化魔暴龙,0.2%,88,
石塘猎人,0.2%,97,
石拳食人魔,3.5%,96,
石牙野猪,0.6%,71,
石皮蜥蜴,0.6%,137,
石腭穴居人壮汉,12.4%,90,
砰砰博士,3.8%,139,
破咒珠宝师,6.5%,95,
破法者,7.3%,106,
破甲骑士,6.4%,86,
破碎残阳祭司,7.6%,89,
破铜烂铁机器人,0.9%,75,
破铜烂铁机器人,0.9%,75,
硬壳甲虫,0.5%,126,
碎石穴居人,13%,95,
祖达克仪祭师,0.8%,56,
神殿狂战士,13.4%,103,
科赞秘术师,4.1%,69,
穆克拉,0.2%,71,
穴居人强盗,0.1%,90,
穴居人食菌者,0.2%,104,
空中私掠者,24%,116,
空军指挥官,1.9%,64,
空降歹徒,2.3%,74,
窃取,26.5%,93,
窃魂者阿扎莉娜,0.5%,49,
竞技场主宰,3.1%,100,
筑巢双头鹏,0.4%,120,
米米尔隆的头部,0.1%,79,
精灵咏唱者,0.4%,129,
精灵弓箭手,1.5%,109,
精灵龙,9.9%,96,
精神控制技师,0.2%,117,
紫罗兰典狱官,12.4%,116,
紫罗兰教师,1.8%,98,
紫罗兰魔剑士,1.1%,107,
紫色烟雾,16.7%,105,
红龙女王阿莱克丝塔萨,3.8%,135,
纳克萨玛斯之影,0.1%,97,
纳特·帕格,0.1%,81,
纳迦海盗,0.2%,110,
绿洲钳嘴龟,2.2%,67,
绿皮船长,0.6%,84,
绿色凝胶怪,0.4%,107,
缚沙者,0.7%,70,
缚雾熊怪,0.1%,61,
美味飞鱼,3.9%,67,
群星罗列者,0.3%,94,
翡翠掠夺者,0.1%,100,
翼手龙宝宝,0.2%,105,
老式治疗机器人,9.9%,103,
耐心的刺客,5.1%,108,
耶比托·乔巴斯,0.4%,92,
聪明的伪装,13.5%,155,
肉用僵尸,0.6%,142,
背刺,29%,160,
背叛,25.3%,141,
胡桃精,13.5%,90,
脑力激荡者,0.5%,46,
脱逃的样本,0.4%,97,
腐化先知,0.2%,125,
腐化治疗机器人,0.1%,75,
腐烂的苹果树,23.3%,126,
腐肉食尸鬼,2.6%,89,
腐蚀淤泥,0.4%,91,
臃肿的蛇颈龙,0.3%,103,
自爆绵羊,1.2%,95,
致命药膏,30.8%,106,
舒玛,1.2%,103,
舞动之剑,0.1%,53,
船载火炮,11.2%,116,
艾德温·范克里夫,1.4%,118,
艾泽里特元素,0.4%,66,
艾露恩的女祭司,0.8%,82,
苔丝·格雷迈恩,0.9%,68,
苔丝·格雷迈恩,0.9%,68,
苔藓恐魔,4.8%,127,
苦潮多头蛇,0.1%,80,
苦痛侍僧,2.1%,99,
茶水小弟,0.1%,130,
荆棘帮小偷,8.6%,83,
荆棘帮巫婆,2.6%,113,
荆棘帮斗猪,18%,134,
荆棘帮暴徒,9.2%,101,
荆棘帮蟊贼,22%,140,
荆棘谷猛虎,3.4%,92,
荒疫爬行者,17.7%,146,
药水商人,4.3%,95,
莫尔葛工匠,2.9%,150,
莽头食人魔,4.3%,112,
菊花茶,0.2%,96,
菌菇术士,0.4%,139,
菌菇附魔师,0.3%,115,
菲里克·飞刺,5%,189,
萨尔玛先知,0.6%,61,
萨索瓦尔,0.9%,96,
萨索瓦尔,0.9%,96,
萨维斯,0.3%,121,
萨隆苦囚,0.2%,132,
葛拉卡爬行蟹,0.1%,100,
蓝鳃战士,1.3%,82,
藏宝匪贼,4.7%,89,
藏宝巨龙,0.2%,109,
藏宝海湾保镖,0.9%,95,
藏宝海湾保镖,0.9%,95,
蘑菇酿酒师,0.4%,120,
虚灵商人,0.2%,108,
虚灵改装师,17.8%,130,
蛛魔先知,0.2%,114,
蛮鱼斥候,0.1%,74,
蜘蛛坦克,19.5%,112,
蜡油元素,0.1%,65,
蜡烛学,12.6%,104,
蜡烛巨龙,3.4%,110,
血帆海盗,0.7%,71,
血帆袭击者,6.4%,95,
血帆飞贼,10.3%,87,
血沼迅猛龙,3.9%,86,
血法师萨尔诺斯,0.5%,109,
血色十字军战士,4.3%,90,
血骑士,1.4%,104,
街头调查员,0.3%,89,
被埋葬的安卡,0.7%,73,
被感染的牛头人,0.3%,99,
被感染的贮藏者,0.3%,105,
被禁锢的邪犬,31.8%,94,
被缚的魔像,13.6%,150,
被诅咒的流浪者,50.1%,136,
被诅咒的海盗,6.4%,115,
被诅咒的门徒,0.4%,110,
裂地触须,0.3%,99,
裂颅之击,1.4%,30,
裹尸匠,1.2%,84,
角鹰兽,15.8%,115,
触手恐吓者,0.9%,80,
触手恐吓者,0.9%,80,
诅咒教派领袖,3.5%,110,
诺兹多姆,0.2%,65,
诺莫瑞根步兵,1.8%,68,
负伤剑圣,1.2%,95,
贪睡巨龙,0.3%,105,
贫瘠之地饲养员,0.6%,86,
赛场狂热者,0.2%,110,
赛场观众,0.1%,109,
赫米特·奈辛瓦里,0.4%,98,
起泡的腐泥怪,1.9%,69,
蹦蹦兔,0.1%,39,
蹩脚海盗,0.1%,60,
载人收割机,28.5%,139,
载人毁灭机,1.2%,104,
载人飞天魔像,5.7%,134,
辟法奇美拉,7.5%,92,
辟法巨龙,14.7%,151,
辟法灵龙,9.1%,107,
辟法龙人,24.3%,123,
达拉然图书管理员,5.1%,81,
达拉然圣剑士,18.3%,113,
达拉然法师,0.2%,58,
迅捷的信使,9.1%,113,
迈克斯纳,0.1%,84,
迈拉·腐泉,2.4%,156,
迈拉的不稳定元素,0.6%,98,
远古之树,0.3%,114,
连环腿大师,2%,117,
迦顿男爵,0.3%,122,
迪菲亚头目,33.8%,95,
迷失的幽魂,1.6%,53,
迷失的陆行鸟,9.1%,104,
迷彩飞艇,4.5%,86,
迷雾幽灵,6.4%,98,
送葬者,0.1%,97,
逃脱的恐惧卫士,4.1%,42,
通电机器人,0.2%,51,
通缉令,3.4%,102,
邪恶计谋,27.3%,118,
邪犬,3.5%,91,
邪脊吞噬者,0.1%,184,
邪魂审判官,3.6%,95,
邪鳍导航员,4.1%,84,
酸性沼泽软泥怪,9.7%,93,
重甲战马,0.1%,108,
野猪骑士塔纳利,0.1%,91,
野猪骑士斯派克,0.1%,121,
量产型恐吓机,5.9%,129,
金甲虫,15.4%,115,
钉棍终结者,7.6%,114,
钢铁暴怒者,10.4%,106,
钢铁武道家,2.8%,63,
钩镰弯刀,25.2%,120,
铁喙猫头鹰,2.7%,77,
铁炉堡火枪手,2.1%,85,
铁鬃灰熊,3.7%,96,
银月城卫兵,4.6%,88,
银背族长,0.3%,67,
银色侍从,2.5%,104,
银色指挥官,3.3%,119,
铸剑师,1.1%,68,
锈誓信徒,9.8%,82,
锈誓新兵,15.2%,108,
锈骑劫匪,37.7%,144,
锐鳞骑士,10.7%,85,
锯刃齿,0.3%,126,
闪光的蘑菇,0.1%,100,
闪狐,16.5%,145,
闪金镇步兵,0.5%,87,
间谍女郎,41.9%,119,
闷棍,7.7%,194,
闹闹机器人,0.4%,109,
防护改装师,30%,140,
阿努巴尔伏击者,0.3%,122,
阿努比萨斯战争使者,5.3%,98,
阿卡玛,5.1%,96,
阿古斯防御者,1.7%,128,
阿曼尼狂战士,10%,95,
阿莱克丝塔萨,0.9%,97,
陶罐商人,8.6%,100,
隐秘破坏者,1.1%,20,
隐鳞药剂师,3.8%,83,
集市恶痞,40.7%,128,
雷矛特种兵,3.9%,98,
雷诺·杰克逊,0.1%,100,
雷霆蜥蜴,0.1%,87,
霍格,0.8%,115,
霜狼步兵,0.5%,79,
霜狼督军,2%,97,
霸气的旅店老板娘,2.1%,86,
青玉游荡者,0.3%,75,
青玉飞镖,0.8%,133,
青铜门卫,3.9%,91,
面具收集者,3.4%,127,
颤地者特罗格佐尔,0.9%,78,
颤地者特罗格佐尔,0.9%,78,
风怒鹰身人,1.2%,70,
风暴看守,0.1%,82,
风险投资公司雇佣兵,3.1%,53,
飞刀杂耍者,3.5%,121,
飞天鱼人,1%,64,
飞弹机器人,3.1%,113,
飞行器,0.7%,51,
飞行管理员,5.6%,95,
食人魔勇士穆戈尔,0.6%,99,
食人魔忍者,8.7%,100,
食人魔步兵,15.8%,107,
食人魔法师,1.3%,98,
食肉魔块,0.1%,116,
食腐破坏魔,30.4%,107,
饥饿的双头怪,0.2%,114,
饥饿的巨龙,0.3%,99,
骄傲的防御者,16.2%,125,
高级跟班厄尔克,0.8%,80,
鬼灵骑士,0.4%,94,
鬼祟恶魔,0.1%,115,
魂缚灰舌,0.6%,56,
魅影歹徒,0.1%,105,
魅影民兵,9.3%,115,
魔古山守望者,0.5%,85,
魔法幻象,0.5%,91,
魔法订书匠,6.8%,98,
魔法飞毯,0.8%,110,
魔瘾者,0.2%,48,
魔能机甲,2%,148,
鱼人投手,8.1%,86,
鱼人招潮者,0.2%,73,
鱼人木乃伊,8.9%,105,
鱼人杀手蟹,0.5%,78,
鱼人猎潮者,5%,92,
鱼人袭击者,1%,87,
鱼人领军,0.2%,80,
鲁莽火箭兵,3.8%,94,
鲨鱼之灵,0.1%,79,
麦田傀儡,9.1%,96,
麻风侏儒,0.6%,71,
黏指狗头人,1.4%,68,
黑曜石碎片,0.3%,130,
黑樟林树精,6.5%,99,
黑沼枭兽,1%,55,
黑铁矮人,5%,115,
黑骑士,0.2%,111,
齿轮大师,4.5%,81,
齿轮大师的扳手,1.1%,52,
龙喉巡天者,32.1%,121,
龙眠净化者,1.5%,82,
龙骨卫士,8.3%,93,
龙鹰骑士,0.1%,82,
