名称,抓取率,评分,
女巫森林灰熊,7.6%,122,
好斗的侏儒,0.1%,100,
妖术,59.5%,149,
始生幼龙,0.1%,160,
始祖龟预言者,0.1%,76,
孤胆英雄,0.1%,129,
孱弱的掘墓者,0.2%,86,
宝石甲虫,0.3%,89,
寒光先知,0.2%,55,
小个子召唤师,0.9%,84,
小个子法师,0.3%,76,
小个子驱魔者,1.4%,69,
小型法术蓝宝石,0.1%,31,
小精灵,0.2%,65,
小鬼召唤师,2.3%,81,
尘魔,1.9%,37,
尼斐塞特仪祭师,8.6%,122,
尼索格,4.6%,147,
屠龙者,0.3%,121,
山岭巨人,0.2%,45,
岩浆暴怒者,0.1%,63,
工匠大师欧沃斯巴克,0.2%,94,
工匠镇技师,7.5%,95,
工程师学徒,4.2%,96,
巨型乳齿象,0.2%,89,
巨型黄蜂,0.3%,128,
巨魔蝙蝠骑士,32.9%,126,
巨鳞蠕虫,5.8%,105,
巫医,1.7%,77,
巫毒妖术师,0.3%,109,
巫毒娃娃,1.2%,85,
布林顿3000型,0.2%,51,
希亚玛特,3.3%,161,
帝王眼镜蛇,2.6%,102,
年轻的女祭司,2.1%,79,
年轻的酒仙,4.4%,88,
年迈的法师,0.3%,66,
年迈的酒仙,3.8%,91,
幻化师,4.4%,90,
幻术士,3.6%,78,
幼龙饲养员,9.5%,110,
幼龙鹰,0.1%,43,
废土刺客,11.2%,104,
废土巨蝎,7.9%,88,
开心的食尸鬼,0.1%,84,
异变,0.3%,110,
异变之主,0.3%,164,
弗瑞兹·光巢,1.5%,104,
弹簧火箭犬,12.7%,110,
强化机器人,2.3%,107,
强能雷象,2.1%,119,
强袭坦克,10.6%,102,
征募官,0.1%,86,
微型战斗机甲,9.6%,116,
微机操控者,10%,131,
怒鳍猎潮者,0.3%,129,
怪盗图腾,18.9%,113,
怪盗布缆鼠,37.7%,104,
总督察,5.4%,89,
恐怖海盗,0.5%,73,
恐惧渡鸦,2.6%,101,
恐狼前锋,6.9%,116,
恩佐斯的子嗣,0.1%,111,
恶毒的银行家,1.1%,63,
恶毒铁匠,3.8%,89,
恶狼大法师,7.9%,88,
惊爆异变,34.2%,72,
慷慨的木乃伊,1.5%,3,
憎恶,0.3%,89,
我找到了！,0.8%,68,
战争机兵,8.3%,106,
战利品贮藏者,9.1%,104,
托什雷,1.1%,117,
托维尔塑石师,0.1%,103,
扭曲的狼人,0.1%,96,
投弹机器人,4.9%,79,
投火无面者,0.6%,169,
报警机器人,0.2%,35,
拉文霍德刺客,0.9%,72,
招虫的地精,11.5%,88,
持枪恶霸,10.1%,103,
持盾卫士,0.2%,61,
捣蛋鬼,0.8%,75,
推土壮汉,48.1%,108,
摇摆的俾格米,0.1%,124,
摧心者,0.3%,100,
攻城车,0.7%,74,
散财军士,15.4%,105,
斯卡基尔,0.3%,100,
斯尼德的伐木机,1.4%,83,
方阵指挥官,1.6%,83,
施法者克星X-21,3.7%,83,
旅行医者,22.5%,101,
旋翼机,28.8%,94,
旋翼滑翔者,1.8%,73,
无羁元素,21%,86,
无面操纵者,1.6%,104,
无面暴怒者,26%,95,
无面潜伏者,6.6%,86,
无面腐蚀者,20.2%,150,
日怒保卫者,2.8%,104,
昆虫收藏家,15%,112,
明光祭司,0.4%,72,
星界使者塞雷西亚,0.1%,71,
显眼的诱饵,0.3%,60,
晶化师,1.1%,82,
暗夜嗥狼,0.1%,73,
暗夜徘徊者,1.4%,75,
暗鳞先知,0.3%,45,
暗鳞治愈者,4.5%,88,
暮光召唤师,0.1%,121,
暮光幼龙,4.1%,98,
暮光神锤,0.2%,176,
暴怒的双头巨人,16.3%,111,
暴怒的狼人,4.1%,78,
暴掠龙幼崽,0.1%,116,
暴走旋风,0.4%,84,
暴风城勇士,10.7%,94,
暴风城骑士,3.8%,81,
月亮巨人守护者,1%,118,
末日预言者,0.7%,60,
机械保险箱,16.6%,98,
机械克苏恩,0.1%,66,
机械动物管理员,0.4%,99,
机械幼龙技工,3.7%,84,
机械异种蝎,0.1%,79,
机械拷问者,4.4%,13,
机械推土牛,4.5%,97,
机械法医,0.1%,22,
机械袋鼠,10.7%,108,
机械跃迁者,14.6%,111,
机械雏龙,2%,145,
机械雪人,19.7%,113,
杂毛秘术师,13.2%,101,
格鲁尔,0.4%,75,
档案员艾丽西娜,1.4%,72,
梦魇融合怪,4.2%,127,
森金持盾卫士,7.2%,97,
榴弹投手,10.2%,129,
橱柜蜘蛛,0.2%,83,
欢乐的发明家,1.7%,111,
欢快的同伴,9.2%,81,
欧米茄灵能者,4.3%,107,
欧米茄防御者,7.3%,112,
武装皮纳塔,9.4%,125,
武装胡蜂,1.4%,82,
死亡之翼,1.7%,110,
死灵恶鬼,0.5%,81,
死神4000型,1.2%,101,
毁灭之锤,8.3%,81,
毒性污水软泥怪,0.2%,115,
毒沼爬行者,0.2%,117,
毒物学家,0.4%,85,
毒鳍鱼人,5.9%,54,
沉默的骑士,0.4%,99,
沙德沃克,2.8%,106,
沙暴元素,35.1%,139,
沙漠野兔,1.2%,82,
沙鳞灵魂行者,0.6%,71,
没电的铁皮人,0.1%,81,
治疗之雨,0.2%,75,
治疗波,0.1%,45,
沼泽女王哈加莎,6.1%,213,
沼泽水蛭,3.5%,89,
沼泽爬行者,3.7%,86,
沼泽飞龙,3.3%,64,
沼泽龙蛋,3.6%,74,
法力之池,1.1%,54,
法力之潮图腾,10.4%,96,
法力怨魂,0.7%,89,
法奥瑞斯国王,0.3%,55,
泥沼变形怪,2.5%,73,
泥沼狩猎者,2.1%,128,
泽蒂摩,0.1%,102,
活力图腾,2.2%,62,
活动假人,0.3%,65,
活动喷泉,68.5%,158,
活化纪念碑,6.2%,85,
活化龙息,21.1%,103,
流沙元素,8.8%,124,
流电爆裂,7.6%,103,
海地精猎手,11.4%,97,
海巨人,4%,155,
海潮涌动,0.6%,123,
海蛇蛋,2.5%,63,
淡水鳄,4.1%,87,
淤泥吞食者,17.4%,127,
淤泥喷射者,0.1%,119,
淤泥践踏者,8.8%,104,
深坑鳄鱼,23.9%,114,
深渊魔物,0.3%,125,
深潜炸弹,1.4%,50,
深蓝系咒师,16.9%,106,
温泉守卫,0.4%,122,
游学者周卓,0.1%,37,
滑板机器人,2.2%,86,
火元素,60.4%,132,
火山喷发,0.4%,140,
火山龙,0.1%,123,
火岩元素,0.2%,83,
火羽凤凰,0.3%,127,
火羽精灵,0.4%,112,
火舌图腾,24.1%,121,
火花引擎,1.7%,69,
火花钻机,2.3%,97,
火车王里诺艾,0.2%,97,
火鹰,21.5%,120,
灰发巫师,2.5%,102,
灼光战斗法师,22.5%,84,
炽焰祈咒,18%,109,
烈日行者,4.5%,100,
热心的酒保,0.1%,106,
热情的探险家,0.1%,108,
热气球,13.2%,63,
焦油爬行者,0.3%,123,
熔岩爆裂,15.9%,116,
熔火恶犬,0.2%,74,
熟练的水手,1.9%,94,
爆爆机器人,6%,105,
爆盐投弹手,1.4%,110,
爆破小队,0.1%,119,
牛头人战士,0.3%,71,
特殊坐骑商人,8.2%,93,
犯罪高手,0.2%,123,
狂奔的魔暴龙,0.1%,137,
狂奔科多兽,4.9%,88,
狂暴邪翼蝠,8.1%,74,
狂热的新兵,0.1%,81,
狂野炎术师,2.4%,111,
狐人恶棍,5.3%,137,
狗头人地卜师,1.9%,79,
狗头人学徒,0.2%,110,
狗头人武僧,0.1%,105,
狗头人沙漠步兵,3%,63,
狗头人隐士,0.2%,79,
狼人憎恶,2.8%,102,
狼人渗透者,5.1%,77,
狼骑兵,2.2%,91,
猎风巨龙,45.3%,133,
猢狲医者,0.2%,95,
猩红法力浮龙,0.1%,68,
玉莲帮密探,0.2%,121,
玉莲帮幻术师,0.1%,146,
王牌猎人,1.6%,61,
玛克扎尔王子,0.1%,116,
玛里苟斯,0.2%,73,
班德斯莫什,5.5%,120,
瑟玛普拉格,0.5%,78,
瓶装闪电,8.9%,43,
生锈的回收机器人,3.3%,89,
电涌风暴,10.4%,79,
电磁脉冲特工,0.3%,71,
电能工匠,0.9%,94,
畸变狂战士,0.1%,95,
畸变的龙鹰,0.1%,75,
疯帽客,2.5%,88,
疯狂召唤师,0.5%,65,
疯狂投弹者,7.3%,102,
疯狂爆破者,4.6%,85,
疯狂的炼金师,2.8%,91,
疯狂的科学家,0.1%,69,
疾疫使者,0.2%,79,
癫狂的医生,9.4%,85,
白银之手骑士,6.1%,99,
白骨怨灵,19.9%,115,
看台喷火龙,0.2%,101,
矮人考古学家,2%,96,
石丘防御者,0.2%,146,
石化武器,15.5%,89,
石化魔暴龙,0.1%,81,
石塘猎人,0.1%,117,
石拳食人魔,7.7%,96,
石牙野猪,0.5%,54,
石皮蜥蜴,0.4%,146,
石腭穴居人壮汉,10.3%,91,
砂槌萨满祭司,5.2%,87,
砰砰博士,3.3%,141,
破咒珠宝师,9.2%,100,
破坏者,0.3%,119,
破法者,5.6%,101,
破甲骑士,8.6%,86,
破盾者,0.1%,57,
破碎残阳祭司,7.8%,103,
破铜烂铁机器人,1%,58,
硬壳甲虫,0.2%,120,
碎石穴居人,13%,99,
祖达克仪祭师,1.7%,33,
神奇四鱼,0.2%,105,
神殿狂战士,13.7%,115,
科多兽骑手,0.1%,132,
科赞秘术师,4%,70,
穆克拉,0.1%,83,
穴居人食菌者,0.3%,103,
空军指挥官,4.5%,64,
空气元素,0.2%,81,
空降歹徒,1.3%,63,
穿刺者戈莫克,0.1%,113,
突变,4.4%,100,
窃魂者阿扎莉娜,0.5%,47,
竞技场主宰,1.1%,89,
筑巢双头鹏,0.4%,124,
米米尔隆的头部,0.2%,78,
粉碎之手,0.6%,147,
精灵弓箭手,3.9%,88,
精灵龙,8.9%,108,
精神控制技师,0.5%,117,
紫罗兰典狱官,18.5%,102,
紫罗兰教师,3%,93,
紫罗兰魔剑士,2.2%,106,
紫色岩虫,0.3%,104,
红龙女王阿莱克丝塔萨,4.8%,133,
纳特·帕格,0.1%,73,
纳迦海盗,0.1%,118,
终极巫毒,0.4%,148,
维库食尸鬼,0.1%,87,
维西纳,1.5%,119,
绿洲钳嘴龟,0.8%,72,
绿皮船长,0.1%,80,
绿色凝胶怪,0.2%,109,
缚沙者,1.9%,90,
缚雾熊怪,0.1%,76,
美味飞鱼,8.8%,73,
群星罗列者,0.2%,98,
翡翠掠夺者,0.1%,82,
翼手龙宝宝,0.1%,111,
老式治疗机器人,7.2%,76,
耐普图隆,2.8%,118,
耶比托·乔巴斯,0.4%,85,
肉用僵尸,0.3%,107,
胡桃精,10.6%,91,
脑力激荡者,0.4%,46,
脱逃的样本,0.3%,102,
腐化先知,0.1%,121,
腐化治疗机器人,0.1%,83,
腐烂的苹果树,17.2%,106,
腐肉食尸鬼,3%,93,
腐蚀淤泥,0.2%,97,
臃肿的蛇颈龙,0.1%,112,
自动漩涡打击装置,27.9%,126,
自爆绵羊,2.8%,90,
舒玛,1.6%,103,
舞动之剑,0.1%,53,
船载火炮,6.9%,100,
艾泽里特元素,1.2%,66,
艾雅·黑掌,0.1%,118,
艾露恩的女祭司,0.5%,68,
苔藓恐魔,3.3%,104,
苦痛侍僧,4%,97,
茶水小弟,0.1%,73,
荆棘帮小偷,11.6%,83,
荆棘帮巫婆,6.4%,128,
荆棘帮斗猪,35.9%,140,
荆棘帮暴徒,6.7%,86,
荆棘谷猛虎,6.6%,90,
药水商人,9%,68,
莫什奥格执行者,0.3%,82,
莱登之拳,2.2%,160,
莽头食人魔,6.2%,103,
菌菇术士,0.5%,163,
菌菇附魔师,0.2%,113,
萨尔玛先知,0.4%,59,
萨索瓦尔,1.2%,92,
萨维斯,0.5%,112,
萨隆苦囚,0.5%,120,
蓝腮战士,2.9%,83,
藏宝匪贼,6.4%,70,
藏宝巨龙,0.2%,120,
藏宝海湾保镖,0.4%,85,
蘑菇酿酒师,0.3%,121,
虚灵勇士萨兰德,0.1%,131,
虚空撕裂者,0.1%,135,
蛛魔先知,0.3%,119,
蛮鱼图腾,0.1%,111,
蜘蛛坦克,17.7%,110,
血帆海盗,0.7%,55,
血帆袭击者,5.8%,98,
血沼迅猛龙,4%,96,
血法师萨尔诺斯,0.4%,100,
血色十字军战士,7.1%,99,
血虫,0.1%,89,
血骑士,0.8%,99,
街头调查员,0.1%,95,
衰变,0.3%,117,
被感染的牛头人,0.1%,95,
被感染的贮藏者,0.1%,103,
被缚的魔像,12.5%,143,
被诅咒的门徒,0.2%,118,
裂地触须,0.1%,94,
裹尸匠,1.5%,85,
要塞指挥官,0.1%,99,
视界术,4.8%,89,
角斗场主管,0.1%,95,
角鹰兽,20%,104,
触手恐吓者,1.6%,76,
诅咒教派领袖,8.7%,105,
诺兹多姆,0.1%,60,
诺莫瑞根步兵,2.2%,64,
负伤剑圣,2.3%,110,
贪睡巨龙,0.2%,88,
贫瘠之地饲养员,0.4%,80,
赛场医师,0.1%,59,
赛场观众,0.1%,83,
赫米特·奈辛瓦里,0.3%,93,
蹒跚的食尸鬼,0.1%,88,
转生,0.2%,37,
载人收割机,26.8%,140,
载人毁灭机,1.1%,113,
载人飞天魔像,4.8%,136,
辟法奇美拉,13.8%,94,
辟法巨龙,18.9%,147,
辟法灵龙,12%,113,
辟法龙人,32.9%,111,
达卡莱幻术师,0.1%,107,
达卡莱防御者,0.5%,107,
达拉然图书管理员,9%,90,
达拉然圣剑士,33.8%,117,
达拉然法师,0.2%,53,
迅捷的信使,15.3%,113,
远古之树,0.1%,102,
连环爆裂,34.1%,98,
迦顿男爵,0.9%,123,
迷失的幽魂,1.9%,66,
迷失的陆行鸟,7.1%,107,
迷彩飞艇,7%,83,
送葬者,0.1%,75,
通电机器人,0.1%,51,
遮天雨云,10.5%,134,
邪恶的巫医,0.2%,79,
邪教药剂师,0.1%,77,
邪犬,3.2%,80,
邪魂审判官,2.5%,74,
酸性沼泽软泥怪,8.7%,101,
重装佣兵,0.2%,120,
野性狼魂,19.9%,107,
野猪骑士塔纳利,0.1%,98,
野猪骑士斯派克,0.1%,126,
量产型恐吓机,5%,133,
金甲虫,16.1%,107,
钢铁暴怒者,9.3%,110,
钳嘴龟盾卫,0.2%,146,
铁喙猫头鹰,2.3%,65,
铁炉堡火枪手,1.9%,79,
铁鬃灰熊,1.2%,89,
银月城卫兵,4.2%,92,
银背族长,0.1%,54,
银色侍从,6.4%,82,
银色指挥官,4.7%,114,
铸剑师,0.9%,79,
锐鳞骑士,19.8%,88,
锦鱼人水语者,0.2%,117,
闪光的蘑菇,0.1%,99,
闪电吐息,9.5%,152,
闪电箭,36.8%,113,
闪电风暴,29.9%,171,
闪金镇步兵,0.2%,63,
闹闹机器人,0.1%,105,
阿努比萨斯哨兵,0.1%,105,
阿努比萨斯战争使者,6.9%,74,
阿古斯防御者,4.4%,121,
阿曼尼狂战士,9.4%,108,
阿莱克丝塔萨,0.7%,81,
陶罐商人,8.2%,80,
隐秘破坏者,2%,11,
隐鳞药剂师,2.2%,91,
雪地狗头人,0.2%,81,
雷云元素,18.2%,122,
雷暴术,0.5%,139,
雷矛特种兵,3.6%,93,
雷铸战斧,49.1%,158,
霍格,0.7%,107,
霜狼步兵,0.7%,75,
霜狼督军,7.1%,96,
霸气的旅店老板娘,2.5%,77,
青玉之灵,0.1%,79,
青玉之爪,0.4%,192,
青玉酋长,0.2%,83,
青玉闪电,0.6%,148,
青铜门卫,2.7%,85,
静电震击,16.7%,109,
顽石元素,0.3%,116,
颤地者特罗格佐尔,0.9%,77,
风怒,7.7%,52,
风怒鹰身人,0.6%,67,
风暴之怒,29.6%,164,
风暴之眼,49.1%,139,
风暴看守,0.1%,85,
风暴聚合器,4.6%,86,
风暴追逐者,9.4%,125,
风语者,11.5%,87,
风险投资公司雇佣兵,1.2%,65,
风领主奥拉基尔,3.5%,109,
飞刀杂耍者,3.7%,107,
飞天鱼人,2.8%,62,
飞弹机器人,2.4%,118,
飞行器,1.3%,49,
飞行管理员,10.8%,100,
食人魔勇士穆戈尔,0.4%,102,
食人魔步兵,13.7%,108,
食人魔法师,3.3%,94,
食肉魔块,0.1%,131,
饥饿的双头怪,0.1%,103,
饥饿的巨龙,0.8%,104,
骄傲的防御者,31.1%,118,
高级跟班厄尔克,0.2%,76,
鬼灵爬行者,0.2%,136,
鬼灵骑士,0.2%,100,
鬼祟恶魔,0.1%,133,
魅影歹徒,0.1%,113,
魅影民兵,7.5%,104,
魔古山守望者,0.2%,68,
魔古血肉塑造者,7.6%,73,
魔法幻象,1%,70,
魔法订书匠,16.1%,108,
魔法飞毯,1%,80,
魔瘾者,0.1%,49,
魔能机甲,1.5%,155,
鱼人之灾祸,4.2%,173,
鱼人之魂,11.8%,90,
鱼人恩典,0.1%,147,
鱼人投手,10.6%,95,
鱼人招潮者,0.4%,61,
鱼人木乃伊,8.9%,86,
鱼人杀手蟹,0.2%,60,
鱼人猎潮者,5%,104,
鱼人袭击者,0.3%,66,
鱼人领军,0.3%,89,
鲁莽火箭兵,3.1%,88,
麦田傀儡,7.3%,101,
麦迪文,0.1%,80,
麻风侏儒,0.4%,55,
黏指狗头人,1.9%,68,
黑樟林树精,12%,104,
黑沼枭兽,0.8%,53,
黑铁矮人,13.8%,125,
黑骑士,1.7%,94,
齿轮大师,3.7%,64,
龙眠净化者,2%,91,
龙骨卫士,7.7%,87,
龙鹰骑士,0.2%,98,
