名称,职业,稀有度,评分,评级,适合该职业,建议不选多张,
工程师学徒,中立,普通,53,4,,,
巨魔蝙蝠骑士,中立,普通,82,1,,,
巫医,中立,普通,49,5,,,
巫术替身,中立,普通,58,4,不适合,,
希亚玛特,中立,传说,107,1,,,
帝王眼镜蛇,中立,稀有,61,3,,,
年轻的女祭司,中立,稀有,60,3,适合,,
年轻的酒仙,中立,普通,49,5,不适合,,
年迈的法师,中立,稀有,32,6,,,
年迈的酒仙,中立,普通,47,5,,,
幻化师,中立,史诗,53,4,,,
幼龙饲养员,中立,稀有,62,3,,,
幼龙鹰,中立,普通,11,7,适合,,
废土刺客,中立,普通,62,3,,,
废土守望者,中立,史诗,73,2,,,
废土巨蝎,中立,普通,55,4,不适合,,
废料场巨像,中立,稀有,77,2,,,
异教低阶牧师,中立,稀有,61,3,,,
弗瑞兹·光巢,中立,传说,61,3,,,
强力巨树格鲁,德鲁伊,传说,81,1,,,
怪盗布缆鼠,中立,普通,72,2,适合,,
恐怖海盗,中立,普通,34,6,,,
恐惧渡鸦,中立,史诗,67,3,,,
恐狼前锋,中立,普通,66,3,适合,,
恶毒铁匠,中立,普通,57,4,,,
恶狼大法师,中立,史诗,68,3,,,
感知宝珠,中立,传说,25,7,不适合,是,
愤怒,德鲁伊,普通,74,2,,,
愤怒的小鸡,中立,稀有,11,7,适合,,
慷慨的木乃伊,中立,稀有,36,6,,,
憎恶,中立,稀有,42,5,,,
战争古树,德鲁伊,史诗,81,1,,,
战利品贮藏者,中立,普通,64,3,,,
报警机器人,中立,稀有,1,7,,,
拉文霍德刺客,中立,稀有,47,5,,,
招虫的地精,中立,稀有,64,3,适合,,
持枪恶霸,中立,史诗,63,3,,,
持盾卫士,中立,普通,26,7,,,
捣蛋鬼,中立,史诗,50,4,,,
推土壮汉,中立,普通,80,1,不适合,,
撕咬,德鲁伊,稀有,50,4,,,
攻城车,中立,稀有,48,5,,,
教师的爱宠,中立,稀有,87,1,,,
散财军士,中立,普通,63,3,不适合,,
方阵指挥官,中立,普通,53,4,适合,,
旅行医者,中立,普通,68,3,适合,,
旋翼机,中立,普通,66,3,,,
无面操纵者,中立,史诗,56,4,,,
无面暴怒者,中立,普通,70,2,适合,,
无面潜伏者,中立,普通,61,3,,,
无面腐蚀者,中立,稀有,91,1,,,
日怒保卫者,中立,稀有,60,3,,,
昆虫收藏家,中立,普通,65,3,适合,,
星火术,德鲁伊,普通,73,2,,,
星辰坠落,德鲁伊,稀有,67,3,,,
显眼的诱饵,中立,史诗,35,6,不适合,,
晶歌传送门,德鲁伊,史诗,73,2,,是,
晶角雄鹿,德鲁伊,史诗,57,4,,,
暗鳞先知,中立,普通,6,7,,,
暗鳞治愈者,中立,普通,61,3,,,
暮光幼龙,中立,稀有,67,3,,,
暴怒的狼人,中立,普通,55,4,,,
暴走旋风,中立,史诗,22,7,,,
暴风城勇士,中立,普通,72,2,,,
暴风城骑士,中立,普通,58,4,,,
月亮巨人守护者,中立,传说,60,3,,,
月火术,德鲁伊,普通,50,4,,,
末日预言者,中立,史诗,53,4,,,
机械保险箱,中立,普通,52,4,不适合,,
机械幼龙技工,中立,普通,51,4,,,
机械拷问者,中立,稀有,18,7,,,
机械法医,中立,史诗,29,7,,,
林地守护者欧穆,德鲁伊,传说,67,3,,,
树木援军,德鲁伊,稀有,80,1,,,
校长克尔苏加德,中立,传说,69,3,适合,,
格鲁尔,中立,传说,59,4,,,
档案员艾丽西娜,中立,传说,37,6,,,
梦境吐息,德鲁伊,稀有,55,4,,,
森林的援助,德鲁伊,稀有,92,1,,,
森然巨化,德鲁伊,史诗,91,1,,,
森金持盾卫士,中立,普通,65,3,,,
横扫,德鲁伊,普通,98,1,,,
橡果人,德鲁伊,普通,95,1,,,
欢快的同伴,中立,普通,62,3,适合,,
止水湖蛇颈龙,中立,普通,76,2,,,
死亡之翼,中立,传说,99,1,,,
毒鳍鱼人,中立,普通,28,7,,,
比斯巨兽,中立,传说,44,5,,,
水晶之力,德鲁伊,普通,63,3,,,
水晶商人,德鲁伊,史诗,62,3,,,
沙漠方尖碑,中立,史诗,1,7,,,
沙漠野兔,中立,普通,55,4,适合,,
治疗之触,德鲁伊,普通,23,7,,,
沼泽多头蛇,德鲁伊,史诗,120,1,,,
沼泽射线,德鲁伊,普通,59,4,,,
沼泽爬行者,中立,普通,61,3,,,
法力之池,中立,普通,9,7,,,
法力怨魂,中立,稀有,53,4,,,
法奥瑞斯国王,中立,传说,28,7,适合,,
活化扫帚,中立,普通,76,2,,,
活化纪念碑,中立,普通,49,5,,,
活化龙息,中立,普通,68,3,,,
流沙元素,中立,稀有,76,2,,,
浮夸的大四学长,中立,普通,90,1,,,
海巨人,中立,史诗,82,1,,,
海蛇蛋,中立,普通,35,6,适合,,
淡水鳄,中立,普通,57,4,适合,,
深坑鳄鱼,中立,普通,92,1,适合,,
深潜炸弹,中立,稀有,25,7,,,
深蓝系咒师,中立,稀有,76,2,适合,是,
渊狱至尊,中立,普通,54,4,适合,,
游学者周卓,中立,传说,8,7,,,
溢流,德鲁伊,稀有,65,3,,是,
滋养,德鲁伊,稀有,47,5,,是,
演讲者吉德拉,中立,传说,90,1,适合,,
潜地蝎,中立,普通,90,1,,,
激活,德鲁伊,普通,36,6,,,
火箭改装师,中立,普通,77,2,,,
火鹰,中立,普通,64,3,,,
灰发巫师,中立,史诗,59,4,,,
灼光战斗法师,中立,普通,71,2,,,
烈日行者,中立,稀有,67,3,,,
热气球,中立,普通,55,4,适合,,
熔火恶犬,中立,普通,31,6,,,
爪击,德鲁伊,普通,55,4,,,
牛头人战士,中立,普通,28,7,,,
特殊坐骑商人,中立,稀有,55,4,不适合,,
狂傲的兽人,中立,普通,75,2,,,
狂奔科多兽,中立,稀有,74,2,适合,,
狂暴邪翼蝠,中立,稀有,48,5,,,
狂野炎术师,中立,稀有,62,3,,,
狐人恶棍,中立,史诗,79,2,,,
狗头人地卜师,中立,普通,47,5,适合,,
狗头人沙漠步兵,中立,普通,22,7,适合,,
狼人渗透者,中立,普通,61,3,,,
狼骑兵,中立,普通,53,4,,,
王牌猎人,中立,史诗,65,3,适合,是,
玛瑟里顿,中立,传说,26,7,,,
玛维·影歌,中立,传说,91,1,,,
玛里苟斯,中立,传说,48,5,,,
甩笔侏儒,中立,普通,66,3,,,
疯狂召唤师,中立,稀有,29,7,,,
疯狂投弹者,中立,普通,69,3,,,
疯狂的炼金师,中立,稀有,56,4,,,
白银之手骑士,中立,普通,68,3,,,
白骨怨灵,中立,普通,76,2,,,
盆栽投手,德鲁伊,普通,68,3,,,
真菌宝藏,德鲁伊,稀有,15,7,,,
知识古树,德鲁伊,史诗,53,4,,,
矮人考古学家,中立,史诗,58,4,,,
石拳食人魔,中立,普通,67,3,,,
石牙野猪,中立,普通,42,5,,,
破咒珠宝师,中立,稀有,67,3,,,
破甲骑士,中立,普通,55,4,,,
破碎残阳祭司,中立,普通,68,3,,,
祖达克仪祭师,中立,稀有,33,6,,,
神圣暴怒者,中立,普通,66,3,,,
神殿狂战士,中立,普通,71,2,适合,,
穆克拉,中立,传说,56,4,适合,,
空军指挥官,中立,普通,39,6,,,
空气栽培,德鲁伊,稀有,29,7,,,
空降歹徒,中立,普通,34,6,,,
竞技场主宰,中立,普通,49,5,,,
米尔豪斯·法力风暴,中立,传说,31,6,,,
精灵弓箭手,中立,普通,61,3,,,
精灵龙,中立,普通,60,3,,,
紫罗兰典狱官,中立,普通,66,3,,,
紫罗兰教师,中立,稀有,66,3,适合,,
紫罗兰魔剑士,中立,普通,34,6,适合,,
红龙女王阿莱克丝塔萨,中立,传说,77,2,,,
纳特·帕格,中立,传说,21,7,,,
织命者,德鲁伊,稀有,66,3,,,
维克图斯,中立,传说,82,1,,,
绿洲涌动者,德鲁伊,普通,98,1,,,
绿洲钳嘴龟,中立,普通,51,4,适合,,
绿皮船长,中立,传说,39,6,,,
美味飞鱼,中立,普通,36,6,,,
翡翠龙探险者,德鲁伊,普通,113,1,,,
耶比托·乔巴斯,中立,传说,36,6,,,
聒噪怪,德鲁伊,普通,46,5,,,
腐肉食尸鬼,中立,普通,51,4,,,
自然之力,德鲁伊,史诗,63,3,,,
自然印记,德鲁伊,普通,43,5,,,
自然研习,德鲁伊,普通,78,2,,,
舒玛,中立,传说,82,1,适合,,
艾泽里特元素,中立,史诗,40,5,适合,,
艾露恩的女祭司,中立,普通,35,6,,,
荆棘帮小偷,中立,普通,52,4,,,
荆棘帮巫婆,中立,史诗,74,2,适合,,
荆棘帮斗猪,中立,普通,74,2,适合,,
荆棘谷猛虎,中立,普通,64,3,,,
药水商人,中立,普通,53,4,适合,,
莫尔葛工匠,中立,史诗,70,2,适合,,
莽头食人魔,中立,史诗,70,2,不适合,,
萌物来袭,中立,普通,80,1,,,
萌芽分裂,德鲁伊,稀有,51,4,,,
萤火成群,德鲁伊,史诗,23,7,,,
萨尔玛先知,中立,普通,24,7,,,
萨索瓦尔,中立,传说,62,3,适合,,
萨维斯,中立,传说,66,3,,,
蓝鳃战士,中立,普通,50,4,,,
藏宝匪贼,中立,稀有,22,7,,,
藏宝海湾保镖,中立,普通,39,6,,,
虚灵改装师,中立,普通,73,2,适合,,
蜂群来袭,德鲁伊,普通,82,1,,,
血帆海盗,中立,稀有,34,6,,是,
血帆袭击者,中立,普通,56,4,,,
血沼迅猛龙,中立,普通,57,4,适合,,
血法师萨尔诺斯,中立,传说,59,4,适合,,
血色十字军战士,中立,普通,68,3,,,
血骑士,中立,史诗,61,3,,,
被禁锢的萨特,德鲁伊,普通,57,4,,,
被禁锢的邪犬,中立,普通,82,1,,,
被缚的魔像,中立,稀有,103,1,,,
裹尸匠,中立,史诗,47,5,,,
觉醒巨龙伊瑟拉,德鲁伊,传说,72,2,,,
角鹰兽,中立,普通,67,3,,,
触手恐吓者,中立,史诗,53,4,,,
诅咒教派领袖,中立,普通,67,3,,,
诺兹多姆,中立,传说,39,6,,,
课桌小鬼,中立,普通,25,7,,,
负伤剑圣,中立,稀有,58,4,,,
贪婪的书虫,中立,稀有,69,3,适合,,
贫瘠之地饲养员,中立,史诗,34,6,适合,,
资深探险者,中立,稀有,57,4,适合,,
赤红急先锋,中立,普通,69,3,,,
起泡的腐泥怪,中立,稀有,52,4,适合,,
转校生,中立,史诗,90,1,,,
辟法奇美拉,中立,普通,60,3,,,
辟法巨龙,中立,普通,91,1,,,
辟法灵龙,中立,普通,64,3,,,
辟法龙人,中立,普通,86,1,,,
达拉然图书管理员,中立,普通,56,4,,,
达拉然圣剑士,中立,普通,78,2,,,
达拉然法师,中立,普通,17,7,适合,,
过度生长,德鲁伊,普通,21,7,,是,
远古祝福,德鲁伊,普通,80,1,,,
迦顿男爵,中立,传说,82,1,,,
迷彩飞艇,中立,普通,57,4,,,
逃脱的恐惧卫士,中立,普通,33,6,,,
邪犬,中立,普通,35,6,不适合,,
邪鳍导航员,中立,普通,48,5,,,
酸性沼泽软泥怪,中立,普通,60,3,,,
野性之力,德鲁伊,普通,76,2,,,
野性印记,德鲁伊,普通,60,3,,,
野性成长,德鲁伊,普通,33,6,,,
野性赐福,德鲁伊,普通,34,6,,是,
野蛮之击,德鲁伊,稀有,22,7,,是,
野蛮咆哮,德鲁伊,普通,65,3,,,
金甲虫,中立,普通,55,4,不适合,,
钢铁甲虫,德鲁伊,稀有,61,3,,,
钥匙专家阿拉巴斯特,中立,传说,93,1,适合,,
铁喙猫头鹰,中立,普通,36,6,,,
铁木树皮,德鲁伊,稀有,63,3,,,
铁炉堡火枪手,中立,普通,47,5,,,
铁鬃灰熊,中立,普通,52,4,,,
银月城卫兵,中立,普通,53,4,,,
银背族长,中立,普通,17,7,,,
银色侍从,中立,普通,65,3,适合,,
银色指挥官,中立,稀有,76,2,,,
铸剑师,中立,稀有,40,5,不适合,,
锈誓,中立,普通,68,3,,,
锈誓信徒,中立,普通,49,5,,是,
锈骑劫匪,中立,普通,82,1,,,
锐鳞骑士,中立,普通,64,3,,,
闪金镇步兵,中立,普通,35,6,,,
防护改装师,中立,普通,87,1,,,
防护长袍,中立,稀有,56,4,,,
阿努比萨斯战争使者,中立,普通,32,6,,,
阿努比萨斯防御者,德鲁伊,史诗,43,5,,,
阿古斯防御者,中立,稀有,69,3,,,
阿曼尼狂战士,中立,普通,69,3,,,
阿莱克丝塔萨,中立,传说,67,3,,,
陶罐商人,中立,普通,55,4,适合,,
隐秘破坏者,中立,史诗,38,6,,,
隐秘绿洲,德鲁伊,稀有,68,3,,,
雏龙巨婴,中立,普通,79,2,,,
雕琢符文,中立,史诗,81,1,,,
雷矛特种兵,中立,普通,57,4,,,
雷霆绽放,中立,普通,47,5,,,
霍格,中立,传说,71,2,,,
霜狼步兵,中立,普通,39,6,,,
霜狼督军,中立,普通,63,3,,,
霸气的旅店老板娘,中立,普通,52,4,适合,,
风怒鹰身人,中立,普通,30,6,,,
风险投资公司雇佣兵,中立,普通,53,4,,,
飞刀杂耍者,中立,稀有,63,3,,,
飞天鱼人,中立,史诗,38,6,,,
飞翼守护者,德鲁伊,稀有,113,1,,,
飞行管理员,中立,普通,59,4,适合,,
食人魔巫术师,中立,普通,66,3,,,
食人魔法师,中立,普通,53,4,适合,,
食腐破坏魔,中立,普通,81,1,,,
食魔影豹,中立,普通,71,2,,,
驯化的雷象,中立,史诗,67,3,,,
骄傲的防御者,中立,普通,72,2,,,
高级跟班厄尔克,中立,传说,15,7,,,
魂缚灰舌,中立,普通,21,7,,,
魔化大锅,中立,史诗,40,5,不适合,,
魔古信徒,中立,史诗,5,7,,,
魔古山守望者,中立,普通,43,5,,,
魔杖工匠,中立,普通,72,2,,,
魔法幻象,中立,稀有,21,7,,,
魔法订书匠,中立,普通,57,4,,,
魔法飞毯,中立,史诗,38,6,,,
魔瘾者,中立,稀有,24,7,,,
魔药始祖龙,中立,普通,81,1,,,
鱼人投手,中立,普通,59,4,,,
鱼人招潮者,中立,稀有,30,6,,,
鱼人木乃伊,中立,普通,65,3,不适合,,
鱼人杀手蟹,中立,史诗,33,6,,是,
鱼人猎潮者,中立,普通,60,3,,,
鱼人袭击者,中立,普通,41,5,,,
鱼人领军,中立,史诗,50,4,,,
鱼人飞骑,中立,普通,84,1,,,
鲁莽火箭兵,中立,普通,49,5,,,
麦田傀儡,中立,普通,65,3,,,
麻风侏儒,中立,普通,17,7,,,
黏指狗头人,中立,史诗,40,5,,,
黑岩法术抄写员,中立,普通,80,1,,,
黑铁矮人,中立,普通,76,2,,,
黑骑士,中立,传说,87,1,,,
龙喉偷猎者,中立,稀有,86,1,,是,
龙喉巡天者,中立,普通,82,1,,,
龙眠净化者,中立,史诗,35,6,,,
