名称,职业,稀有度,评分,评级,适合该职业,建议不选多张,
巡游领队,中立,普通,67,3,适合,,
工匠大师欧沃斯巴克,中立,传说,55,4,,,
工程师学徒,中立,普通,51,4,,,
巨型独眼怪,中立,史诗,65,3,,,
巫医,中立,普通,49,5,,,
巫术替身,中立,普通,58,4,不适合,,
巴罗夫领主,中立,传说,80,1,适合,,
希拉斯·暗月,中立,传说,62,3,不适合,,
帐篷摧毁者,战士,史诗,88,1,,,
帝王眼镜蛇,中立,稀有,61,3,,,
年轻的女祭司,中立,稀有,58,4,,,
年轻的酒仙,中立,普通,51,4,适合,,
年迈的法师,中立,稀有,32,6,,,
年迈的酒仙,中立,普通,47,5,,,
幼龙鹰,中立,普通,10,7,,,
库卡隆精英卫士,战士,普通,74,2,,,
废土守望者,中立,史诗,72,2,,,
废料场巨像,中立,稀有,77,2,,,
废铁魔像,战士,稀有,63,3,,,
异变的狗头人,中立,普通,13,7,,,
异教低阶牧师,中立,稀有,61,3,,,
异教药剂师,中立,普通,43,5,不适合,,
异种群居蝎,中立,稀有,39,6,适合,,
怒火中烧,战士,普通,43,5,,,
怒鳍猎潮者,中立,普通,65,3,,,
怨影狂怒者,中立,普通,15,7,,,
恐怖增生体,中立,史诗,66,3,适合,,
恐怖海盗,中立,普通,50,4,适合,,
恐狼前锋,中立,普通,64,3,不适合,,
恩佐斯,中立,传说,47,5,,,
恩佐斯的副官,战士,普通,91,1,,,
恩佐斯的子嗣,中立,普通,42,5,适合,,
恩佐斯的触须,中立,普通,29,7,,,
恩佐斯，深渊之神,中立,传说,80,1,适合,,
恶毒铁匠,中立,普通,64,3,适合,,
惊骇恐魔,中立,普通,51,4,,,
感知宝珠,中立,传说,31,6,适合,是,
愤怒的小鸡,中立,稀有,9,7,,,
憎恶,中立,稀有,42,5,,,
战利品贮藏者,中立,普通,63,3,,,
战斗怒火,战士,普通,72,2,,,
战槌挑战者,战士,史诗,86,1,,,
战歌指挥官,战士,普通,16,7,,,
扭曲的狼人,中立,普通,56,4,,,
报警机器人,中立,稀有,1,7,,,
拉文霍德刺客,中立,稀有,47,5,,,
持枪恶霸,中立,史诗,63,3,,,
持盾卫士,中立,普通,26,7,,,
收割之镰,战士,稀有,102,1,,,
攻城车,中立,稀有,48,5,,,
斩杀,战士,普通,74,2,,,
旋岩虫,中立,普通,48,5,,,
旋风斩,战士,普通,47,5,,,
无面巨兽,中立,普通,35,6,不适合,,
无面操纵者,中立,史诗,56,4,,,
无面蹒跚者,中立,史诗,51,4,,,
日怒保卫者,中立,稀有,60,3,,,
暗月兔子,中立,史诗,55,4,,,
暗月雕像,中立,普通,66,3,,,
暗月飞船,中立,普通,81,1,,,
暗鳞先知,中立,普通,6,7,,,
暗鳞治愈者,中立,普通,61,3,,,
暮光召唤师,中立,史诗,63,3,适合,,
暮光幼龙,中立,稀有,69,3,适合,,
暮色野猪,中立,普通,29,7,,,
暴乱狂战士,战士,稀有,88,1,,,
暴怒的狼人,中立,普通,57,4,适合,,
暴虐食尸鬼,战士,普通,97,1,,,
暴风城勇士,中立,普通,68,3,,,
暴风城骑士,中立,普通,58,4,,,
末日践行者,中立,史诗,47,5,,,
末日预言者,中立,史诗,50,4,不适合,,
机械幼龙技工,中立,普通,50,4,,,
校长克尔苏加德,中立,传说,61,3,不适合,,
格罗玛什·地狱咆哮,战士,传说,83,1,,,
格鲁尔,中立,传说,59,4,,,
梦魇之龙,中立,史诗,57,4,,,
森金持盾卫士,中立,普通,64,3,,,
止水湖蛇颈龙,中立,普通,74,2,,,
死亡之翼,中立,传说,102,1,适合,,
毒沼爬行者,中立,普通,79,2,适合,,
比斯巨兽,中立,传说,44,5,,,
毕业仪式,中立,稀有,24,7,适合,,
沸血蛮兵,战士,稀有,93,1,,,
沼泽爬行者,中立,普通,61,3,,,
法力怨魂,中立,稀有,53,4,,,
波戈蒙斯塔,中立,传说,44,5,,,
活化扫帚,中立,普通,76,2,,,
浮夸的大四学长,中立,普通,90,1,,,
海巨人,中立,史诗,82,1,,,
海盗藏品,战士,稀有,57,4,,,
淡水鳄,中立,普通,56,4,,,
深渊滑行者索苟斯,中立,传说,64,3,,,
渊狱至尊,中立,普通,50,4,不适合,,
游学者周卓,中立,传说,8,7,,,
潜地蝎,中立,普通,90,1,,,
火箭改装师,中立,普通,77,2,适合,,
炫目火鸟,中立,普通,63,3,,,
炸弹牛仔,战士,稀有,73,2,,,
炽炎战斧,战士,普通,71,2,,,
烈日行者,中立,稀有,67,3,,,
熔火恶犬,中立,普通,31,6,,,
牛头人战士,中立,普通,30,6,适合,,
狂傲的兽人,中立,普通,75,2,,,
狂奔科多兽,中立,稀有,73,2,,,
狂暴,战士,普通,40,5,,是,
狂暴邪翼蝠,中立,稀有,48,5,,,
狂欢小丑,中立,史诗,79,2,适合,,
狂热的,中立,普通,47,5,,,
狂野炎术师,中立,稀有,62,3,,,
狗头人地卜师,中立,普通,45,5,,,
狼人渗透者,中立,普通,59,4,不适合,,
狼骑兵,中立,普通,53,4,,,
猛击,战士,普通,72,2,,,
王牌猎人,中立,史诗,64,3,,是,
玛瑟里顿,中立,传说,26,7,,,
玛维·影歌,中立,传说,91,1,,,
玛里苟斯,中立,传说,48,5,,,
甩笔侏儒,中立,普通,66,3,,,
畸变狂战士,中立,普通,61,3,适合,,
畸变的龙鹰,中立,普通,24,7,,,
疯狂投弹者,中立,普通,69,3,,,
疯狂的炼金师,中立,稀有,56,4,,,
白银之手骑士,中立,普通,65,3,,,
百变泽鲁斯,中立,传说,50,4,,,
盛装演员,中立,普通,51,4,,,
盾牌格挡,战士,普通,40,5,,,
盾牌猛击,战士,史诗,49,5,,,
石拳食人魔,中立,普通,66,3,,,
石牙野猪,中立,普通,42,5,,,
砰砰战队,战士,普通,72,2,,,
破碎残阳祭司,中立,普通,64,3,,,
砸场游客,中立,普通,55,4,,,
碰碰车,战士,稀有,68,3,,,
神圣暴怒者,中立,普通,66,3,,,
穆克拉,中立,传说,55,4,,,
竞技场主宰,中立,普通,49,5,,,
米尔豪斯·法力风暴,中立,传说,31,6,,,
精灵弓箭手,中立,普通,61,3,,,
精灵龙,中立,普通,60,3,,,
精英牛头人酋长，金属之神,战士,传说,39,6,,,
紫罗兰教师,中立,稀有,62,3,不适合,,
纳特·帕格,中立,传说,21,7,,,
绝命乱斗,战士,史诗,57,4,,是,
维克图斯,中立,传说,82,1,,,
绿洲钳嘴龟,中立,普通,50,4,,,
绿皮船长,中立,传说,72,2,适合,,
置景工,战士,普通,67,3,,,
胁迫,中立,稀有,94,1,不适合,,
脱轨过山车,中立,稀有,55,4,适合,,
腐化先知,中立,稀有,65,3,适合,,
腐化治疗机器人,中立,稀有,64,3,,,
腐肉食尸鬼,中立,普通,51,4,,,
致死打击,战士,稀有,58,4,,,
舞台跳水,战士,稀有,63,3,,,
艾尔文灾星霍格,中立,传说,82,1,,,
艾露恩的女祭司,中立,普通,37,6,适合,,
苦战傀儡,战士,史诗,36,6,,,
英勇打击,战士,普通,54,4,,,
荆棘谷猛虎,中立,普通,64,3,,,
荣誉护盾,中立,普通,56,4,适合,,
莫尔葛工匠,中立,史诗,69,3,,,
萨尔玛先知,中立,普通,24,7,,,
萨维斯,中立,传说,66,3,,,
蓝鳃战士,中立,普通,50,4,,,
藏宝海湾保镖,中立,普通,39,6,,,
虚灵改装师,中立,普通,73,2,,,
蛛魔先知,中立,普通,73,2,,,
蠕动的恐魔,中立,普通,72,2,不适合,,
血吼,战士,史诗,91,1,,,
血帆教徒,战士,稀有,69,3,,,
血帆海盗,中立,稀有,34,6,,是,
血帆袭击者,中立,普通,68,3,适合,,
血沼迅猛龙,中立,普通,56,4,,,
血法师萨尔诺斯,中立,传说,58,4,,,
血色十字军战士,中立,普通,66,3,不适合,,
血蹄勇士,战士,普通,79,2,,,
血骑士,中立,史诗,61,3,,,
血骨傀儡,战士,传说,73,2,,是,
被感染的牛头人,中立,普通,57,4,,,
被感染的贮藏者,中立,普通,56,4,,,
被禁锢的甘尔葛,战士,普通,103,1,,,
被禁锢的邪犬,中立,普通,84,1,,,
裂地触须,中立,普通,54,4,,,
诅咒教派领袖,中立,普通,67,3,,,
诺兹多姆,中立,传说,39,6,,,
课桌小鬼,中立,普通,23,7,不适合,,
负伤剑圣,中立,稀有,58,4,,,
贪婪的书虫,中立,稀有,70,2,适合,,
贫瘠之地饲养员,中立,史诗,35,6,适合,,
资深探险者,中立,稀有,56,4,,,
赤红急先锋,中立,普通,69,3,,,
起泡的腐泥怪,中立,稀有,50,4,不适合,,
转校生,中立,史诗,90,1,,,
达拉然法师,中立,普通,14,7,,,
迅蹄珠齿象,中立,普通,74,2,适合,,
远古造物之血,中立,史诗,46,5,适合,,
迦顿男爵,中立,传说,86,1,适合,,
逃脱的恐惧卫士,中立,普通,33,6,,,
邪鳍导航员,中立,普通,49,5,,,
酸性沼泽软泥怪,中立,普通,60,3,,,
钢铁舞者,中立,史诗,78,2,适合,,
钢铁触须,战士,史诗,26,7,,是,
钥匙专家阿拉巴斯特,中立,传说,92,1,,,
铁喙猫头鹰,中立,普通,36,6,,,
铁炉堡火枪手,中立,普通,47,5,,,
铁鬃灰熊,中立,普通,52,4,,,
银月城卫兵,中立,普通,53,4,,,
银背族长,中立,普通,17,7,,,
银色侍从,中立,普通,62,3,不适合,,
银色指挥官,中立,稀有,76,2,,,
铸剑师,中立,稀有,40,5,不适合,,
铸甲师,战士,稀有,50,4,,,
锈誓,中立,普通,68,3,,,
锈誓信徒,中立,普通,48,5,不适合,是,
锈骑劫匪,中立,普通,85,1,,,
闪金镇步兵,中立,普通,35,6,,,
问题学生,战士,稀有,125,1,,,
闹闹机器人,中立,普通,67,3,,,
防护改装师,中立,普通,85,1,不适合,,
防护长袍,中立,稀有,55,4,,,
阴暗渔夫纳特,中立,传说,18,7,,,
阿古斯防御者,中立,稀有,66,3,,,
阿拉希武器匠,战士,普通,90,1,,,
阿曼尼狂战士,中立,普通,70,2,适合,,
阿莱克丝塔萨,中立,传说,66,3,适合,,
雷区挑战,战士,普通,68,3,,,
雷矛特种兵,中立,普通,57,4,,,
霍格,中立,传说,71,2,,,
霜狼步兵,中立,普通,39,6,,,
霜狼督军,中立,普通,61,3,不适合,,
顺劈斩,战士,普通,68,3,,,
风怒鹰身人,中立,普通,30,6,,,
风险投资公司雇佣兵,中立,普通,53,4,,,
飞刀杂耍者,中立,稀有,63,3,,,
食人魔巫术师,中立,普通,66,3,,,
食人魔法师,中立,普通,51,4,,,
食腐破坏魔,中立,普通,80,1,,,
食魔影豹,中立,普通,68,3,不适合,,
香蕉商贩,中立,普通,50,4,,,
马尔考罗克,战士,传说,88,1,,,
马戏团医师,中立,普通,77,2,适合,,
马戏团融合怪,中立,普通,76,2,适合,,
马戏领班威特利,战士,传说,76,2,,,
马戏领班的节杖,战士,史诗,60,3,,,
驯化的雷象,中立,史诗,67,3,,,
高级跟班厄尔克,中立,传说,19,7,适合,,
魂缚灰舌,中立,普通,11,7,,,
魔化大锅,中立,史诗,36,6,不适合,,
魔古山守望者,中立,普通,43,5,,,
魔杖工匠,中立,普通,72,2,,,
魔瘾者,中立,稀有,24,7,,,
魔药始祖龙,中立,普通,83,1,适合,,
鱼人招潮者,中立,稀有,30,6,,,
鱼人杀手蟹,中立,史诗,33,6,,是,
鱼人猎潮者,中立,普通,60,3,,,
鱼人袭击者,中立,普通,41,5,,,
鱼人领军,中立,史诗,50,4,,,
鱼人飞骑,中立,普通,84,1,适合,,
鲁莽火箭兵,中立,普通,49,5,,,
麦田傀儡,中立,普通,65,3,,,
麻风侏儒,中立,普通,17,7,,,
黑岩法术抄写员,中立,普通,80,1,,,
黑暗低语者,中立,史诗,53,4,,,
黑水海盗,中立,稀有,38,6,适合,,
黑铁矮人,中立,普通,76,2,,,
黑骑士,中立,传说,87,1,,,
黑龙领主死亡之翼,中立,传说,49,5,,,
龙喉巡天者,中立,普通,82,1,,,
