名称,抓取率,评分,
奇利亚斯,2.9%,147,
奔逃的魔刃豹,12%,107,
奥妮克希亚,1.8%,112,
奥术仆从,11.9%,93,
奥术吞噬者,0.1%,53,
奥术畸体,0.1%,103,
奥能水母,2.9%,113,
奥能铁匠,0.2%,88,
奥金斧,60.3%,163,
女伯爵阿莎摩尔,1.4%,93,
女巫森林吹笛人,3.8%,79,
女巫森林灰熊,6.7%,115,
孤胆英雄,0.1%,121,
安保巡游者,4.4%,105,
宝石甲虫,0.2%,83,
宝石魔像,0.3%,104,
小个子召唤师,1.1%,90,
小个子法师,0.1%,69,
小个子驱魔者,1.4%,67,
小型法术秘银石,0.1%,119,
小精灵,0.1%,68,
小鬼召唤师,1.6%,85,
尼斐塞特仪祭师,8.8%,130,
屠龙者,0.2%,116,
山岭巨人,0.3%,48,
岩浆暴怒者,0.1%,66,
工匠大师欧沃斯巴克,0.3%,97,
工匠镇技师,6.4%,98,
工程师学徒,5.5%,92,
巨型乳齿象,0.1%,88,
巨型蟾蜍,0.1%,121,
巨型黄蜂,0.2%,128,
巨魔蝙蝠骑士,30.3%,131,
巨鳞蠕虫,5.4%,97,
巫医,1.4%,83,
巫妖王,0.2%,142,
巫毒娃娃,0.4%,82,
布林顿3000型,0.3%,53,
希亚玛特,3.3%,164,
帝王眼镜蛇,1.3%,107,
年轻的女祭司,1.1%,87,
年轻的酒仙,4%,93,
年迈的法师,0.1%,62,
年迈的酒仙,4.3%,93,
幻化师,4.5%,97,
幻术士,1.3%,71,
幼龙饲养员,9.5%,111,
幼龙鹰,0.1%,45,
库卡隆精英卫士,28.4%,115,
废土刺客,11.1%,108,
废土巨蝎,8.5%,92,
废旧螺栓机甲,4%,80,
开心的食尸鬼,0.1%,83,
弗瑞兹·光巢,1.3%,107,
弹射之刃,3.7%,97,
弹簧火箭犬,15.5%,107,
强化机器人,1.7%,100,
强能雷象,3%,118,
强袭坦克,9.5%,106,
微型战斗机甲,7.4%,111,
微机操控者,10.1%,130,
怒火中烧,11.1%,82,
怒鳍猎潮者,0.1%,120,
怪盗军需官,47.8%,122,
怪盗布缆鼠,30.7%,107,
总督察,5.5%,88,
恐怖海盗,4.7%,99,
恐怖的奴隶主,0.1%,58,
恐惧渡鸦,2.4%,106,
恐狼前锋,1.7%,96,
恐角龙宝宝,0.2%,103,
恒金巡游者,9.5%,99,
恩佐斯的副官,0.3%,214,
恶毒的银行家,0.8%,61,
恶毒铁匠,7.8%,102,
恶狼大法师,9.3%,91,
惊恐的仆从,21.7%,172,
愤怒之灾祸,12.7%,111,
慷慨的木乃伊,1.4%,1,
憎恶,1.2%,91,
战争机兵,9.5%,106,
战利品贮藏者,9.8%,102,
战斗怒火,33.9%,113,
战斗机器人,12.4%,113,
战歌指挥官,0.9%,52,
战路,56.9%,147,
托什雷,1%,114,
扭曲的狼人,0.1%,93,
投入战斗,2.9%,64,
投弹机器人,2.8%,77,
报警机器人,0.2%,32,
拉文霍德刺客,0.9%,75,
招虫的地精,10.5%,87,
持枪恶霸,9.9%,107,
持盾卫士,0.2%,57,
捣蛋鬼,0.6%,78,
推土壮汉,49.2%,111,
掷弹机器人,25.1%,135,
提振士气,40.3%,133,
攻城车,0.6%,77,
散财军士,13%,108,
斩杀,44.5%,126,
斯尼德的伐木机,1.7%,84,
方阵指挥官,1.5%,85,
施法者克星X-21,3.2%,81,
旅行医者,20.4%,103,
旋翼机,27.7%,96,
旋翼滑翔者,1.3%,78,
旋风斩,14.3%,90,
无助的幼雏,0.1%,51,
无面巨兽,0.1%,64,
无面操纵者,1.7%,106,
无面暴怒者,22.9%,98,
无面潜伏者,6.4%,86,
无面腐蚀者,17.9%,144,
日怒保卫者,2.6%,106,
昆虫收藏家,11.9%,120,
明光祭司,0.2%,71,
星界使者塞雷西亚,0.1%,71,
显眼的诱饵,0.4%,64,
晶化师,1.1%,92,
暗夜嗥狼,0.2%,75,
暗夜徘徊者,1.1%,73,
暗鳞治愈者,4.8%,93,
暮光幼龙,5%,99,
暴乱狂战士,16.9%,130,
暴怒的双头巨人,20.4%,107,
暴怒的狼人,5%,82,
暴掠龙幼崽,0.1%,113,
暴虐食尸鬼,0.5%,157,
暴走旋风,0.2%,64,
暴躁的恐角龙,0.3%,117,
暴风城勇士,8.7%,89,
暴风城骑士,3.5%,83,
月亮巨人守护者,1.3%,121,
未鉴定的盾牌,0.2%,87,
末日预言者,0.5%,51,
机械保险箱,18.6%,91,
机械克苏恩,0.1%,68,
机械幼龙技工,1.9%,87,
机械拷问者,6.3%,6,
机械推土牛,5.3%,95,
机械法医,0.1%,10,
机械袋鼠,8.2%,117,
机械跃迁者,12.8%,114,
机械雏龙,2.1%,146,
机械雪人,17.3%,110,
杂毛秘术师,13.6%,98,
枯须铸甲师,0.2%,102,
格斗陪练师,0.4%,124,
格罗玛什·地狱咆哮,3.9%,125,
格鲁尔,0.5%,78,
档案员艾丽西娜,1.9%,74,
梦魇融合怪,3%,115,
森金持盾卫士,5.7%,97,
榴弹投手,8.2%,128,
横冲直撞,8.9%,110,
横扫攻击,11.8%,126,
欢乐的发明家,0.8%,101,
欢快的同伴,7.2%,84,
欧米茄毁灭者,23.4%,151,
欧米茄装配,42%,146,
欧米茄防御者,7.7%,108,
武器计划,5.4%,31,
武装皮纳塔,8.4%,120,
死亡之咬,0.6%,209,
死亡之翼,1.8%,108,
死亡幽魂,0.1%,66,
死神4000型,1.4%,103,
毒沼爬行者,0.2%,116,
毒物学家,1.8%,100,
毒鳍鱼人,1.6%,55,
民兵指挥官,23.3%,158,
污手玩具商,0.4%,122,
污手街典当师,0.1%,110,
污手街情报员,0.2%,117,
污手街走私者,0.1%,98,
沙漠野兔,0.6%,85,
没电的铁皮人,0.1%,78,
沼泽水蛭,2.2%,91,
沼泽爬行者,4.2%,86,
沼泽飞龙,1.5%,58,
沼泽龙蛋,2.9%,67,
法力之池,0.4%,44,
法力怨魂,0.1%,94,
法奥瑞斯国王,0.1%,52,
泥沼狩猎者,1.8%,131,
活动假人,0.2%,62,
活化纪念碑,7.1%,85,
活化龙息,17.9%,108,
流沙元素,7.7%,126,
海地精猎手,10.9%,93,
海巨人,3.7%,127,
海盗之锚,1%,106,
海蛇蛋,1.5%,34,
淡水鳄,3.4%,93,
淤泥喷射者,0.1%,115,
淤泥践踏者,6.6%,99,
深坑鳄鱼,24.8%,118,
深潜炸弹,1.5%,32,
深蓝系咒师,13.7%,103,
湖之仙女,0.2%,74,
滑板机器人,3.8%,88,
火山龙,0.1%,125,
火岩元素,0.1%,90,
火焰杂耍者,0.5%,124,
火箭靴,13.3%,107,
火羽凤凰,0.3%,125,
火羽精灵,0.2%,131,
火花引擎,1.6%,61,
火花钻机,2.5%,94,
火车王里诺艾,0.1%,98,
火鹰,18.1%,125,
灰发巫师,2.7%,114,
灼光战斗法师,19.4%,103,
炸弹牛仔,22.1%,140,
炽炎战斧,41.4%,155,
烈日行者,4.1%,100,
热心的酒保,0.1%,104,
热气球,10.4%,71,
焦油兽王,0.3%,112,
焦油爬行者,0.3%,119,
焦躁的木乃伊,40.2%,166,
熔岩之刃,0.2%,117,
熔火吐息,14.9%,123,
熔火恶犬,0.5%,76,
熟练的水手,2.5%,95,
爆爆机器人,7.6%,108,
爆盐投弹手,0.9%,108,
爆破之王砰砰,1.4%,85,
爆破小队,0.1%,124,
牛头人战士,0.6%,77,
特殊坐骑商人,6.5%,93,
犯罪高手,0.3%,122,
狂奔科多兽,3.7%,91,
狂暴,15.2%,56,
狂暴的狼人,26.5%,118,
狂暴邪翼蝠,6.8%,77,
狂野炎术师,3.2%,123,
狐人恶棍,5%,135,
狗头人地卜师,0.4%,76,
狗头人学徒,0.1%,108,
狗头人武僧,0.1%,104,
狗头人沙漠步兵,2.6%,65,
狗头人蛮兵,0.1%,97,
狼人憎恶,4.1%,105,
狼人渗透者,3.2%,88,
狼骑兵,3.1%,98,
猛击,32.5%,130,
猢狲医者,0.1%,93,
王牌猎人,1.7%,61,
玛克扎尔王子,0.1%,114,
玛里苟斯,0.2%,74,
瑟玛普拉格,0.8%,83,
生锈的回收机器人,5.5%,81,
电磁脉冲特工,0.3%,70,
电缆长枪,10.7%,203,
电能工匠,1.2%,93,
畸变狂战士,0.1%,99,
疯帽客,1.5%,80,
疯狂召唤师,0.6%,73,
疯狂巨龙死亡之翼,6.5%,118,
疯狂投弹者,7.4%,110,
疯狂爆破者,5.2%,86,
疯狂的炼金师,1.9%,96,
癫狂的医生,12.8%,84,
白银之手教官,0.3%,93,
白银之手骑士,5.8%,103,
白骨怨灵,19.6%,115,
盛气凌人,0.3%,120,
盾牌格挡,15.2%,67,
盾牌猛击,3.7%,95,
盾甲侍女,8.5%,67,
矮人考古学家,1.6%,104,
石丘防御者,0.1%,143,
石塘猎人,0.1%,101,
石拳食人魔,10.6%,100,
石牙野猪,0.2%,56,
石皮蜥蜴,0.3%,143,
石腭穴居人壮汉,7.7%,90,
砰砰博士,3.4%,144,
砰砰博士的阴谋,3.7%,14,
砰砰战队,41%,119,
砰砰机甲,1.9%,100,
砰砰飞艇,1.8%,96,
破咒珠宝师,8%,104,
破坏者,0.3%,116,
破法者,4.9%,100,
破甲骑士,8.1%,89,
破盾者,0.1%,56,
破碎残阳祭司,6.4%,89,
破铜烂铁机器人,0.4%,46,
硕铠鼠,2.4%,113,
硬壳甲虫,0.1%,121,
碎石穴居人,11.7%,96,
祖达克仪祭师,2.2%,26,
神殿狂战士,13.6%,127,
科赞秘术师,3.3%,69,
穆克拉,0.2%,89,
穴居人食菌者,0.1%,100,
空中悍匪,38%,112,
空中炮艇,8.3%,100,
空军指挥官,3.9%,63,
空间撕裂器,4.2%,52,
空降歹徒,4.3%,72,
窃魂者阿扎莉娜,0.3%,46,
竞技场主宰,1.6%,90,
筑巢双头鹏,0.2%,121,
米米尔隆的头部,0.2%,78,
精灵弓箭手,2.7%,91,
精灵龙,7.9%,110,
精神控制技师,0.3%,116,
紫罗兰典狱官,17.6%,100,
紫罗兰教师,1.8%,96,
紫罗兰魔剑士,1.4%,77,
紫色岩虫,0.2%,116,
红龙女王阿莱克丝塔萨,4.8%,134,
纳迦海盗,0.2%,121,
绝命乱斗,10.5%,109,
绿洲钳嘴龟,1.2%,74,
绿皮船长,0.6%,102,
绿色凝胶怪,0.1%,109,
缚沙者,0.2%,66,
美味飞鱼,8%,70,
群星罗列者,0.3%,99,
翼手龙宝宝,0.1%,106,
老式治疗机器人,5.6%,66,
耶比托·乔巴斯,0.3%,84,
肉用僵尸,0.1%,131,
胡桃精,9.5%,87,
脑力激荡者,0.5%,44,
脱逃的样本,0.3%,102,
腐化先知,0.1%,123,
腐树巨人,5.5%,169,
腐烂的苹果树,14%,98,
腐肉食尸鬼,2.7%,85,
腐蚀淤泥,0.1%,95,
腐面,0.1%,59,
臃肿的蛇颈龙,0.1%,112,
自爆绵羊,2.7%,94,
致命武装,2.1%,70,
致死打击,9.2%,111,
舒玛,1.3%,109,
船载火炮,10.1%,111,
艾泽里特元素,0.8%,62,
艾露恩的女祭司,1%,66,
苔藓恐魔,4%,109,
苦痛侍僧,5.4%,102,
英勇打击,13.9%,125,
荆棘帮小偷,10.5%,86,
荆棘帮巫婆,3.3%,119,
荆棘帮斗猪,30.3%,147,
荆棘帮暴徒,11.4%,94,
荆棘谷猛虎,8%,92,
药水商人,9.2%,67,
莫什奥格播报员,0.1%,134,
莽头食人魔,9.5%,109,
菌菇术士,0.3%,139,
菌菇附魔师,0.1%,109,
萨尔玛先知,0.8%,62,
萨索瓦尔,1.7%,90,
萨维斯,0.4%,113,
葛拉卡爬行蟹,0.1%,102,
蓝腮战士,1.7%,86,
藏宝匪贼,19.1%,94,
藏宝巨龙,0.1%,124,
藏宝海湾保镖,0.5%,86,
蘑菇酿酒师,0.2%,116,
虚灵勇士萨兰德,0.1%,119,
蛛魔先知,0.2%,117,
蜘蛛坦克,12.9%,107,
血吼,16.4%,170,
血帆教徒,0.1%,115,
血帆海盗,0.3%,59,
血帆袭击者,11.3%,115,
血沼迅猛龙,3.5%,102,
血法师萨尔诺斯,0.2%,92,
血色十字军战士,5.6%,100,
血誓雇佣兵,6.9%,127,
血蹄勇士,0.3%,105,
血骑士,0.9%,101,
街头调查员,0.1%,93,
被感染的贮藏者,0.1%,100,
被污染的狂热者,0.1%,85,
被缚的魔像,13.4%,155,
被诅咒的门徒,0.1%,127,
裂地触须,0.1%,86,
裹尸匠,1.6%,88,
角鹰兽,18.6%,107,
触手恐吓者,1.3%,79,
诅咒教派领袖,10.4%,101,
诺兹多姆,0.1%,61,
诺莫瑞根步兵,1.8%,65,
调皮的噬踝者,0.4%,109,
负伤剑圣,2.2%,103,
贪睡巨龙,0.2%,87,
贫瘠之地饲养员,0.5%,82,
赛场观众,0.1%,93,
赤环蜂,9.2%,106,
赫米特·奈辛瓦里,0.3%,93,
超级对撞器,35.6%,175,
蹒跚的食尸鬼,0.1%,94,
身陷绝境的哨卫,0.1%,49,
载人收割机,25.5%,136,
载人毁灭机,1.4%,112,
载人飞天魔像,7.7%,134,
辟法奇美拉,12.5%,100,
辟法巨龙,18.8%,158,
辟法灵龙,11.1%,109,
辟法龙人,32.3%,111,
达利乌斯·克罗雷,4.4%,137,
达拉然图书管理员,8.9%,96,
达拉然圣剑士,30.9%,121,
达拉然法师,0.1%,50,
迅捷的信使,17.7%,115,
远古之树,0.1%,99,
迦顿男爵,1.1%,135,
迷失的幽魂,0.4%,53,
迷失的陆行鸟,5.4%,105,
迷彩飞艇,7.6%,87,
通电机器人,0.3%,54,
邪教药剂师,0.1%,72,
邪犬,3.2%,81,
邪魂审判官,1.1%,68,
酸性沼泽软泥怪,6.4%,108,
重型攻城战车,7.4%,97,
重甲战马,0.2%,108,
重甲暴徒,30.3%,110,
重碾,9.5%,141,
重装佣兵,0.1%,129,
野猪骑士斯派克,0.1%,124,
量产型恐吓机,4%,133,
金属狂潮！,0.1%,33,
金甲虫,15.1%,104,
钢铁战蝎,1.7%,61,
钢铁暴怒者,11.1%,109,
钳嘴龟盾卫,0.1%,139,
铁喙猫头鹰,3.2%,65,
铁炉堡火枪手,1.6%,84,
铁鬃灰熊,2%,91,
铍金毁灭者,1.3%,72,
铜皮铁甲,0.1%,39,
银月城卫兵,2.3%,96,
银背族长,0.2%,54,
银色侍从,4.1%,92,
银色指挥官,5.7%,117,
铸剑师,0.4%,73,
铸甲师,7.4%,96,
锐鳞骑士,15.7%,88,
闪金镇步兵,0.3%,66,
闹闹机器人,0.1%,103,
阿努比萨斯战争使者,8.1%,80,
阿古斯防御者,3%,101,
阿拉希武器匠,54.9%,144,
阿曼尼狂战士,7.9%,124,
阿莱克丝塔萨,0.8%,81,
陵墓守望者,32.4%,106,
陶罐商人,6.7%,78,
隐秘破坏者,2.5%,21,
隐鳞药剂师,2.7%,91,
雷矛特种兵,2.9%,98,
雷霆蜥蜴,0.1%,89,
霍格,0.5%,108,
霜狼步兵,0.5%,76,
霜狼督军,4.6%,91,
霸气的旅店老板娘,2.2%,66,
青铜门卫,5.4%,80,
顺劈斩,24.5%,147,
领主之鞭,0.2%,88,
颤地者特罗格佐尔,0.8%,78,
风怒鹰身人,1%,72,
风暴看守,0.1%,85,
风险投资公司雇佣兵,2.1%,61,
飞刀杂耍者,1%,116,
飞天鱼人,2.2%,59,
飞弹机器人,3.8%,122,
飞行器,1.1%,49,
飞行管理员,10.1%,104,
食人魔勇士穆戈尔,0.5%,101,
食人魔战槌,9.2%,90,
食人魔步兵,12.2%,105,
食人魔法师,2.2%,92,
饥饿的双头怪,0.1%,98,
骄傲的防御者,32.4%,119,
骷髅法师,0.1%,61,
高级跟班厄尔克,0.5%,88,
鬼灵爬行者,0.1%,132,
鬼灵骑士,0.2%,99,
鬼祟恶魔,0.1%,114,
魅影民兵,5.8%,95,
魔古山守望者,0.5%,65,
魔法幻象,0.8%,66,
魔法订书匠,9.4%,110,
魔法飞毯,0.8%,87,
魔瘾者,0.1%,52,
魔能机甲,1.1%,153,
鱼人投手,7.8%,99,
鱼人招潮者,0.1%,59,
鱼人木乃伊,6.5%,94,
鱼人杀手蟹,0.4%,63,
鱼人猎潮者,2.8%,109,
鱼人袭击者,0.2%,72,
鱼人领军,0.2%,81,
鱼死网破,0.1%,137,
鲁莽火箭兵,2.4%,96,
麦田傀儡,7.7%,105,
麻风侏儒,0.3%,56,
黄铜指虎,0.1%,131,
黏指狗头人,2%,73,
黑嚎炮塔,0.3%,39,
黑曜石毁灭者,0.3%,113,
黑樟林树精,12.4%,101,
黑沼枭兽,0.1%,49,
黑铁矮人,10.9%,117,
黑骑士,2%,95,
齿轮大师,2.5%,71,
龙眠净化者,2%,101,
龙骨卫士,8.7%,82,
龙鹰骑士,0.2%,91,
