名称,抓取率,评分,
古拉巴什狂暴者,1.8%,82,
叫嚣的中士,2.7%,73,
召唤传送门,2.5%,74,
可升级机器人,3%,93,
可靠的灯泡,0.8%,66,
吉尔尼斯皇家卫兵,10.2%,105,
后街男巫,0.1%,56,
吵吵机器人,14.3%,116,
吸取生命,17.4%,90,
吸血蚊,7.7%,91,
吹箭鱼人,0.3%,106,
咖啡师林彻,1.6%,126,
哀嚎的灵魂,0.1%,86,
哈里森·琼斯,0.5%,80,
唤尸者,0.3%,110,
唤鸦者,14.2%,96,
喂食时间,0.6%,135,
喧哗的诗人,0.3%,97,
喷灯破坏者,5.2%,125,
回收机器人,0.2%,43,
团队领袖,2.3%,74,
圣光勇士,0.2%,114,
圣光护卫者,0.2%,71,
地狱烈焰,53.7%,159,
地精工兵,2.1%,74,
地精滑翔技师,11.2%,83,
地精炸弹,0.3%,25,
场馆保镖,0.4%,96,
坑道爆破师,5.1%,92,
坩埚元素,1.1%,62,
基维斯,0.6%,70,
墓地蹒跚者,0.1%,91,
墓穴蜘蛛,0.6%,115,
多彩龙卵,1.5%,75,
夜刃刺客,1.4%,74,
夜色镇图书管理员,0.2%,92,
夜色镇议员,0.8%,142,
夜行蝙蝠,21.2%,88,
大厨诺米,0.2%,63,
大地之环先知,7.4%,105,
大师级枪骑士,0.2%,71,
大检察官怀特迈恩,0.8%,122,
大法师,3.2%,83,
大法师瓦格斯,0.6%,93,
大胖,1%,83,
夺日者战斗法师,3%,69,
夺日者间谍,12.4%,94,
夺烛木乃伊,19.3%,134,
奇利亚斯,3%,189,
奔逃的魔刃豹,13.4%,110,
奥妮克希亚,0.7%,105,
奥术仆从,16.6%,94,
奥术傀儡,0.2%,57,
奥术吞噬者,0.1%,52,
奥秘吞噬者,0.1%,54,
奥秘守护者,0.1%,56,
奥能水母,5.2%,121,
女伯爵阿莎摩尔,0.7%,82,
女巫森林吹笛人,4.6%,79,
女巫森林小鬼,5.6%,89,
女巫森林灰熊,10.3%,132,
始生幼龙,0.1%,153,
孤胆英雄,0.3%,137,
孱弱的掘墓者,0.2%,86,
宝石甲虫,0.5%,84,
寒光先知,0.1%,55,
小个子召唤师,2.2%,91,
小个子法师,0.3%,73,
小个子驱魔者,1.6%,73,
小型法术紫水晶,0.5%,99,
小精灵,0.3%,70,
小鬼召唤师,1.9%,87,
小鬼油膏,11%,134,
小鬼爆破,25.6%,163,
小鬼狱火,7.3%,115,
尼斐塞特仪祭师,9.4%,120,
尼斐塞特鞭笞者,17.1%,129,
尼鲁巴蛛网领主,0.1%,74,
屠龙者,0.5%,120,
山岭巨人,0.5%,71,
岩浆暴怒者,0.2%,68,
工匠大师欧沃斯巴克,0.3%,101,
工匠镇技师,8%,95,
工程师学徒,3.1%,96,
巨型乳齿象,0.4%,95,
巨型小鬼,2.5%,66,
巨型蟾蜍,0.6%,128,
巨型黄蜂,0.6%,128,
巨魔蝙蝠骑士,33.7%,134,
巨鳞蠕虫,7.3%,102,
巫医,2.9%,92,
巫毒娃娃,2%,93,
布林顿3000型,0.3%,42,
希亚玛特,3.5%,170,
帝王眼镜蛇,3.1%,109,
年轻的女祭司,1.2%,89,
年轻的酒仙,6.6%,93,
年迈的法师,0.4%,65,
年迈的酒仙,4.9%,95,
幻化师,5%,100,
幻术士,4.7%,77,
幼龙饲养员,10.8%,118,
幼龙鹰,0.2%,46,
废土刺客,11.4%,109,
废土巨蝎,7.7%,92,
弃暗投明,0.1%,6,
弗瑞兹·光巢,1.7%,111,
弹簧火箭犬,19.2%,110,
强化机器人,2.7%,102,
强能雷象,2.6%,119,
强袭坦克,9.9%,99,
微型战斗机甲,10.8%,117,
微机操控者,10.5%,131,
心能魔像,0.8%,10,
怒鳍猎潮者,0.3%,130,
性急的杂兵,2%,66,
怪盗天才,60.9%,151,
怪盗布缆鼠,33%,101,
怪盗征募官,9.1%,87,
总督察,6.6%,89,
恐怖海盗,0.3%,72,
恐惧地狱火,27.7%,127,
恐惧战马,0.1%,91,
恐惧渡鸦,2.9%,109,
恐狼前锋,4.3%,97,
恩佐斯,0.1%,100,
恩佐斯的子嗣,0.2%,91,
恩佐斯的触须,0.1%,79,
恶毒的银行家,1.6%,62,
恶毒铁匠,2.8%,88,
恶狼大法师,6.7%,91,
恶魔之心,5.9%,117,
恶魔之火,25.2%,87,
恶魔卫士,1.6%,79,
恶魔法阵,13.4%,96,
情势反转,3.4%,11,
惊骇恐魔,0.1%,113,
感知恶魔,3.5%,100,
愤怒的小鸡,0.1%,45,
憎恶,0.8%,95,
战争机兵,7.9%,105,
战利品贮藏者,7.2%,107,
托什雷,1.4%,119,
托维尔塑石师,0.1%,98,
扭曲学识,46.9%,192,
扭曲巨龙泽拉库,6.6%,145,
扭曲的狼人,0.4%,97,
扭曲虚空,12.5%,133,
投弹机器人,3.8%,77,
护魂者,0.1%,105,
报警机器人,0.2%,36,
拉卡利地狱犬,0.2%,109,
拉文霍德刺客,0.9%,75,
拉法姆的诅咒,0.1%,42,
拉法姆的阴谋,15.7%,82,
招虫的地精,12.9%,102,
持枪恶霸,10.5%,110,
持盾卫士,0.3%,75,
捕鼠人,3.7%,92,
捣蛋鬼,1%,80,
推土壮汉,51.3%,109,
摇摆的俾格米,0.1%,124,
摧心者,0.2%,103,
摩天龙,0.1%,57,
攻城恶魔,10.6%,119,
攻城车,1.1%,79,
散财军士,18.1%,110,
斯尼德的伐木机,1.6%,77,
方阵指挥官,1.5%,89,
施法者克星X-21,4.4%,89,
旅行医者,31.8%,107,
旋翼机,27.7%,98,
旋翼滑翔者,1.9%,75,
无证药剂师,0.1%,82,
无面巨兽,0.1%,56,
无面操纵者,1.7%,107,
无面暴怒者,27.8%,96,
无面潜伏者,7.9%,99,
无面腐蚀者,18.9%,144,
日怒保卫者,2.6%,119,
昆虫收藏家,15.8%,121,
明光祭司,0.4%,73,
星界使者塞雷西亚,0.1%,72,
显眼的诱饵,0.4%,61,
晶化师,1.7%,95,
暗夜徘徊者,2%,73,
暗影烈焰,16.7%,165,
暗影箭,42.3%,123,
暗色炸弹,42.5%,127,
暗金教信使,0.4%,117,
暗金教恶魔商贩,0.2%,135,
暗金教炼金师,0.6%,98,
暗鳞先知,0.1%,43,
暗鳞治愈者,3.6%,97,
暮光幼龙,4.2%,106,
暮色野猪,0.1%,87,
暴怒的双头巨人,20.3%,122,
暴怒的狼人,5%,84,
暴掠龙幼崽,0.3%,115,
暴走旋风,0.1%,62,
暴躁的巨龟,0.2%,70,
暴风城勇士,5.3%,88,
暴风城骑士,4.4%,85,
月亮巨人守护者,1.3%,119,
末日守卫,16.4%,115,
末日灾祸,9.4%,72,
末日降临,0.4%,175,
末日预言者,1.2%,91,
机械保险箱,16.5%,120,
机械克苏恩,0.2%,68,
机械动物管理员,0.3%,97,
机械幼龙技工,3.7%,89,
机械异种蝎,0.1%,75,
机械拷问者,3.1%,26,
机械推土牛,4.2%,93,
机械法医,0.1%,3,
机械袋鼠,15.9%,120,
机械跃迁者,14.4%,113,
机械雏龙,2.6%,146,
机械雪人,18.3%,113,
杂毛秘术师,9.5%,99,
染病的兀鹫,8%,127,
格林达·鸦羽,1.6%,84,
格鲁尔,0.3%,76,
档案员艾丽西娜,1.2%,77,
梦魇之龙,0.1%,88,
梦魇融合怪,4.8%,128,
森金持盾卫士,9.7%,110,
榴弹投手,10.5%,129,
欢乐的发明家,1%,124,
欢快的同伴,10.1%,83,
欧米茄探员,24.2%,135,
欧米茄防御者,8.2%,123,
武装皮纳塔,9.3%,122,
死亡之翼,0.9%,138,
死亡缠绕,52.3%,120,
死亡领主,0.1%,82,
死神4000型,1.2%,99,
残暴的恐龙术士,0.1%,74,
毒性污水软泥怪,0.4%,115,
毒沼爬行者,0.9%,127,
毒物学家,0.3%,75,
毒鳍鱼人,2.7%,57,
比斯巨兽,0.1%,82,
沙漠野兔,1%,88,
没电的铁皮人,0.1%,79,
沼泽水蛭,4.1%,112,
沼泽爬行者,5.7%,99,
沼泽飞龙,4.5%,68,
沼泽龙蛋,2.7%,73,
法力之池,0.5%,50,
法力怨魂,0.9%,97,
法奥瑞斯国王,0.3%,46,
泥沼狩猎者,2.1%,126,
活动假人,0.2%,71,
活化纪念碑,7%,96,
活化龙息,20.6%,111,
流沙元素,9.4%,125,
海地精猎手,13.1%,98,
海巨人,1.6%,128,
海蛇蛋,3.4%,62,
淡水鳄,3.6%,94,
淤泥喷射者,0.3%,134,
淤泥践踏者,9.9%,104,
深坑鳄鱼,24%,118,
深渊召唤者,5.6%,96,
深渊领主,1.9%,99,
深潜炸弹,1.6%,39,
深蓝系咒师,16.5%,127,
混乱凝视者,20.9%,134,
渊狱惩击者,1.1%,178,
温顺的巨壳龙,0.1%,118,
滑板机器人,4%,86,
漂浮观察者,19.6%,72,
火山龙,0.3%,120,
火岩元素,0.3%,79,
火焰之灾祸,13.9%,150,
火焰之雨,17.4%,103,
火羽凤凰,0.9%,125,
火羽精灵,0.7%,130,
火花引擎,2%,68,
火花钻机,2.4%,93,
火车王里诺艾,0.5%,94,
火鹰,21.6%,129,
灰发巫师,2.3%,111,
灵魂之火,32.6%,90,
灵魂灌注,4.5%,58,
灵魂炸弹,12.3%,103,
灵魂虹吸,33.2%,147,
灼光战斗法师,24.5%,98,
炼魂术,0.2%,53,
烈日行者,6.1%,115,
烈焰小鬼,33.9%,113,
热心的酒保,0.4%,122,
热气球,12.6%,80,
焦油潜伏者,1.2%,118,
焦油爬行者,0.8%,130,
熔火恶犬,0.4%,76,
熟练的水手,2.6%,94,
爆晶药水,1.2%,133,
爆爆机器人,8.2%,106,
爆盐投弹手,1.4%,108,
爆破小队,0.2%,104,
牛头人战士,1.3%,79,
特殊坐骑商人,3.9%,93,
牺牲契约,3.5%,22,
犯罪高手,0.4%,122,
狂乱传染,0.1%,17,
狂奔的魔暴龙,0.2%,129,
狂奔科多兽,5.1%,97,
狂暴邪翼蝠,9.1%,78,
狂热的新兵,0.1%,71,
狂野炎术师,4.2%,118,
狐人恶棍,5.3%,143,
狗头人图书管理员,1.2%,144,
狗头人地卜师,2.5%,78,
狗头人学徒,0.4%,108,
狗头人武僧,0.2%,106,
狗头人沙漠步兵,4%,67,
狼人憎恶,4.3%,104,
狼人欺诈者,0.1%,96,
狼人渗透者,3.7%,90,
狼骑兵,2.5%,95,
猢狲医者,0.5%,88,
猩红法力浮龙,0.1%,63,
王牌猎人,2.4%,66,
玛克扎尔王子,0.1%,107,
玛尔加尼斯,2.4%,117,
玛里苟斯,0.5%,78,
瑟玛普拉格,0.5%,76,
瓦迪瑞斯·邪噬,3%,132,
生锈的回收机器人,7.9%,108,
甲虫卵,0.1%,76,
电磁脉冲特工,0.4%,70,
电能工匠,2.5%,93,
畸变狂战士,0.4%,96,
畸变的龙鹰,0.1%,72,
疯帽客,2.7%,77,
疯狂召唤师,0.6%,78,
疯狂投弹者,9.6%,109,
疯狂爆破者,5.1%,81,
疯狂的灵翼龙,25.7%,127,
疯狂的炼金师,3.8%,96,
痛苦女王,4.8%,90,
癫狂的医生,18.8%,93,
白银之手骑士,7.6%,105,
白骨怨灵,23.2%,135,
着魔村民,0.5%,108,
着魔男仆,0.1%,62,
矮人考古学家,2.2%,105,
石丘防御者,0.4%,146,
石化魔暴龙,0.2%,80,
石塘猎人,0.4%,106,
石拳食人魔,9%,102,
石牙野猪,0.3%,56,
石皮蜥蜴,0.8%,151,
石腭穴居人壮汉,12%,91,
砂齿骑兵,0.1%,47,
砰砰博士,3%,142,
破咒珠宝师,10.9%,107,
破法者,7%,103,
破甲骑士,9.4%,91,
破盾者,0.1%,61,
破碎残阳祭司,5.6%,91,
破铜烂铁机器人,0.9%,71,
硬壳甲虫,0.6%,135,
碎石穴居人,15.3%,100,
祖达克仪祭师,1.8%,52,
神殿狂战士,16%,124,
禁忌仪式,0.4%,120,
科赞秘术师,4.1%,69,
穆克拉,0.2%,93,
穴居人强盗,0.1%,95,
穴居人食菌者,0.4%,106,
空军指挥官,4.9%,68,
空灵召唤者,0.7%,111,
空降歹徒,1.4%,67,
窃魂者阿扎莉娜,0.4%,44,
竞技场主宰,2.6%,99,
筑巢双头鹏,0.6%,125,
米米尔隆的头部,0.2%,77,
粗俗的矮劣魔,1.1%,141,
精灵弓箭手,3.1%,93,
精灵龙,12.3%,120,
精神控制技师,0.4%,119,
紫罗兰典狱官,19.6%,114,
紫罗兰教师,3.2%,97,
紫罗兰魔剑士,1.8%,82,
紫色岩虫,0.7%,109,
红龙女王阿莱克丝塔萨,5%,129,
纳克萨玛斯之影,0.1%,102,
纳迦海盗,0.2%,112,
绿洲钳嘴龟,2.2%,77,
绿色凝胶怪,0.4%,115,
缚沙者,0.8%,69,
缚雾熊怪,0.1%,59,
美味飞鱼,9.2%,77,
群星罗列者,0.3%,99,
翡翠掠夺者,0.2%,89,
翼手龙宝宝,0.3%,112,
老式治疗机器人,14.6%,100,
耶比托·乔巴斯,0.3%,91,
聒噪的挖掘者,0.2%,122,
肉用僵尸,0.9%,131,
胡桃精,12%,92,
脑力激荡者,0.8%,51,
脱逃的样本,0.6%,102,
腐化先知,0.3%,125,
腐化治疗机器人,0.2%,87,
腐化迷雾,0.2%,70,
腐烂的苹果树,15.5%,124,
腐肉食尸鬼,4.5%,85,
腐蚀术,9.7%,95,
腐蚀淤泥,0.3%,95,
臃肿的蛇颈龙,0.6%,109,
自爆绵羊,4.4%,95,
至尊盗王拉法姆,1.4%,128,
至暗时刻,0.5%,21,
舒玛,1.4%,109,
舞动之剑,0.1%,62,
船载火炮,8.2%,101,
艾泽里特元素,0.7%,70,
艾露恩的女祭司,2.6%,82,
苔藓恐魔,4.5%,118,
苦痛侍僧,2.2%,90,
茶水小弟,0.1%,61,
荆棘帮小偷,12.9%,88,
荆棘帮巫婆,6.5%,123,
荆棘帮斗猪,42.4%,150,
荆棘帮暴徒,2.4%,81,
荆棘谷猛虎,4.9%,95,
药水商人,13.2%,81,
莫什奥格播报员,0.1%,138,
莫瑞甘博士,0.5%,77,
莫瑞甘的灵界,3.3%,96,
莽头食人魔,6%,106,
菌菇术士,0.9%,130,
菌菇附魔师,0.5%,117,
萨尔玛先知,0.5%,62,
萨索瓦尔,1.4%,89,
萨维斯,0.5%,114,
葛拉卡爬行蟹,0.2%,107,
蓝腮战士,3.6%,86,
藏宝匪贼,0.2%,58,
藏宝巨龙,0.2%,121,
藏宝海湾保镖,1.2%,94,
蘑菇酿酒师,0.8%,123,
虚弱诅咒,10%,126,
虚空分析师,1.3%,83,
虚空召唤,14.4%,72,
虚空吐息,20.9%,115,
虚空恐魔,4.2%,80,
虚空撕裂者,0.1%,120,
虚空行者,25.7%,102,
虚空领主,0.3%,128,
虚魂破坏者,1.8%,103,
蛛魔之卵,0.1%,100,
蛛魔先知,0.5%,119,
蛮鱼斥候,0.1%,71,
蜘蛛坦克,17.5%,111,
蜡油元素,0.1%,63,
血帆海盗,0.5%,59,
血帆袭击者,2.8%,95,
血怒药水,0.5%,102,
血沼迅猛龙,5.5%,103,
血法师萨尔诺斯,0.4%,98,
血色十字军战士,8.6%,104,
血虫,0.3%,111,
血骑士,1.3%,106,
街头调查员,0.2%,93,
被感染的牛头人,0.5%,100,
被感染的贮藏者,0.2%,100,
被缚的魔像,12.4%,155,
被诅咒的门徒,0.6%,120,
裂地触须,0.3%,102,
裂隙屠夫,8%,171,
裹尸匠,1.5%,90,
角鹰兽,21.3%,114,
触手恐吓者,1.7%,79,
诅咒教派领袖,5.6%,105,
诺兹多姆,0.1%,61,
诺莫瑞根步兵,1.9%,66,
负伤剑圣,1.5%,106,
贪睡巨龙,0.4%,97,
贪食软泥怪,0.1%,88,
贫瘠之地饲养员,0.6%,79,
赛场狂热者,0.3%,99,
赫米特·奈辛瓦里,0.4%,92,
蹒跚的食尸鬼,0.2%,103,
载人收割机,26.6%,142,
载人毁灭机,2.2%,114,
载人飞天魔像,4.7%,138,
辟法奇美拉,16.9%,101,
辟法巨龙,19.2%,157,
辟法灵龙,13.6%,120,
辟法龙人,35.4%,125,
达拉然图书管理员,12.5%,97,
达拉然圣剑士,39.8%,125,
达拉然法师,0.4%,52,
迅捷的信使,12.1%,110,
过期货物专卖商,11.6%,106,
迈克斯纳,0.1%,102,
远古之树,0.5%,115,
迦顿男爵,0.9%,122,
迪菲亚清道夫,0.1%,100,
迷失的幽魂,2%,51,
迷失的陆行鸟,8.6%,107,
迷彩飞艇,7.7%,88,
送葬者,0.1%,79,
通电机器人,0.2%,53,
通道爬行者,0.1%,79,
逝网蜘蛛,5.8%,96,
邪兽人噬魂魔,0.1%,93,
邪恶交易,25.5%,121,
邪教药剂师,0.3%,87,
邪火药水,0.9%,179,
邪犬,7.8%,102,
邪能火炮,7.5%,120,
邪能领主贝图格,3.3%,110,
邪魂审判官,5%,93,
邪魔仆从,19.2%,84,
酸性沼泽软泥怪,6.5%,109,
重装佣兵,0.5%,135,
野猪骑士塔纳利,0.1%,96,
野猪骑士斯派克,0.2%,122,
量产型恐吓机,4.5%,133,
金甲虫,15.9%,110,
钢铁暴怒者,10.1%,109,
钳嘴龟盾卫,0.1%,135,
铁喙猫头鹰,5.5%,73,
铁炉堡火枪手,3%,84,
铁钩掠夺者,0.5%,131,
铁鬃灰熊,3.7%,101,
银月城卫兵,4.7%,99,
银背族长,0.3%,65,
银色侍从,4.5%,95,
银色指挥官,3.7%,120,
铸剑师,1.3%,72,
锐鳞骑士,21%,94,
闪光的蘑菇,0.2%,102,
闪金镇步兵,0.5%,75,
闹闹机器人,0.5%,114,
阵线破坏者,0.1%,94,
阿兰纳丝蛛后,40.5%,121,
阿努比萨斯哨兵,0.4%,97,
阿努比萨斯战争使者,7%,80,
阿古斯防御者,3.1%,113,
阿曼尼狂战士,6.5%,117,
阿莱克丝塔萨,0.6%,94,
陶罐商人,8.4%,84,
隐秘破坏者,1.6%,14,
隐鳞药剂师,3.9%,91,
雪地狗头人,0.2%,80,
雷矛特种兵,4.2%,98,
雷诺·杰克逊,0.1%,100,
雷霆蜥蜴,0.2%,91,
霍格,0.8%,117,
霜狼步兵,1.2%,85,
霜狼督军,3.9%,89,
霸气的旅店老板娘,2.6%,78,
青铜门卫,4.8%,94,
颤地者特罗格佐尔,0.8%,75,
风怒鹰身人,0.8%,70,
风暴看守,0.3%,82,
风险投资公司雇佣兵,2.2%,65,
飞刀杂耍者,5.2%,118,
飞天鱼人,2.4%,64,
飞弹机器人,3%,117,
飞行器,1.1%,48,
飞行管理员,13.3%,107,
食人魔勇士穆戈尔,0.5%,102,
食人魔步兵,14.5%,109,
食人魔法师,4.1%,95,
食肉魔块,0.1%,124,
饥饿的双头怪,0.2%,117,
饥饿的翼手龙,0.8%,120,
馆长,0.1%,125,
首席门徒林恩,0.1%,97,
骄傲的防御者,33.9%,138,
高弗雷勋爵,3.4%,128,
高级跟班厄尔克,0.4%,77,
高阶祭司耶克里克,0.1%,137,
鬼灵爬行者,0.5%,139,
鬼灵骑士,0.5%,99,
鬼祟恶魔,0.1%,113,
魅影歹徒,0.1%,112,
魅影民兵,8.4%,116,
魔古山守望者,0.5%,84,
魔暴龙蛋,0.1%,81,
魔法幻象,1%,89,
魔法订书匠,15.5%,112,
魔法飞毯,1.4%,86,
魔犬,2.8%,89,
魔瘾结晶者,0.5%,120,
魔瘾者,0.3%,52,
魔能机甲,1.5%,141,
鱼人投手,10.2%,97,
鱼人招潮者,0.3%,60,
鱼人木乃伊,10.1%,97,
鱼人杀手蟹,0.5%,64,
鱼人猎潮者,3.7%,110,
鱼人袭击者,0.6%,80,
鱼人领军,0.2%,85,
鲁莽火箭兵,3.5%,90,
鲜血女巫,4.4%,93,
鲜血小鬼,7.2%,53,
麦田傀儡,10%,108,
麦迪文,0.1%,95,
麻风侏儒,0.9%,58,
黏指狗头人,2.1%,68,
黑市摊贩,1.4%,130,
黑暗天际,14.6%,65,
黑暗契约,0.1%,6,
黑暗法老塔卡恒,0.5%,73,
黑暗附体,13.6%,101,
黑樟林树精,9.1%,107,
黑沼枭兽,0.8%,50,
黑铁矮人,7.8%,121,
黑骑士,0.8%,100,
齿轮大师,2.9%,66,
龙人巫师,0.6%,107,
龙眠净化者,1.6%,114,
龙蛋,0.1%,27,
龙骨卫士,10.2%,92,
